DISTRICT,POPULATION,DISTRICT%
"1/1",459437,0.640100
"1/2",258020,0.359500
"2/1",8562,0.011900
"2/2",315725,0.439900
"2/3",388743,0.541600
"3/2",116367,0.162100
"3/3",329178,0.458600
"3/4",272207,0.379200
"4/4",358485,0.499500
"4/5",144824,0.201800
"4/6",216410,0.301500
"5/5",473358,0.659500
"5/6",246483,0.343400
"6/4",75779,0.105600
"6/5",13897,0.019400
"6/6",246776,0.343800
"6/7",381816,0.532000
"7/1",249867,0.348100
"7/2",27540,0.038400
"7/4",10849,0.015100
"7/5",85323,0.118900
"7/6",7303,0.010200
"7/7",337330,0.470000
