DISTRICT,POPULATION,DISTRICT%
"1/1",690902,0.962600
"1/2",26555,0.037000
"2/1",26901,0.037500
"2/2",546626,0.761600
"2/3",139503,0.194400
"3/2",20349,0.028400
"3/3",560034,0.780300
"3/4",137369,0.191400
"4/4",333966,0.465300
"4/5",203076,0.282900
"4/7",182677,0.254500
"5/5",493125,0.687000
"5/7",226716,0.315900
"6/4",150058,0.209100
"6/6",534878,0.745200
"6/7",33332,0.046400
"7/1",214,0.000300
"7/2",121640,0.169500
"7/3",16096,0.022400
"7/4",98792,0.137600
"7/5",21739,0.030300
"7/6",185432,0.258400
"7/7",274299,0.382200
