REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,8,648606,0.816300,0.090700
2,2,9,606386,0.763100,0.175500
3,3,2,573066,0.721200,0.255600
4,5,1,560845,0.705800,0.334000
5,7,3,547850,0.689500,0.410600
6,4,5,519752,0.654100,0.483300
7,6,4,519071,0.653200,0.555900
8,9,6,466105,0.586600,0.621100
9,8,6,328506,0.413400,0.667000
10,9,7,320183,0.402900,0.711800
11,4,4,247354,0.311300,0.746400
12,8,7,230663,0.290300,0.778600
13,5,3,204788,0.257700,0.807300
14,6,5,170920,0.215100,0.831200
15,3,1,137129,0.172600,0.850300
16,2,7,130491,0.164200,0.868600
17,8,2,129201,0.162600,0.886700
18,7,9,112249,0.141300,0.902400
19,7,7,111821,0.140700,0.918000
20,8,5,103940,0.130800,0.932500
21,3,8,77459,0.097500,0.943400
22,1,1,74808,0.094100,0.953800
23,1,9,71411,0.089900,0.963800
24,6,2,66036,0.083100,0.973000
25,2,8,42373,0.053300,0.979000
26,6,3,40270,0.050700,0.984600
27,4,1,21763,0.027400,0.987600
28,5,4,21015,0.026400,0.990600
29,5,8,14734,0.018500,0.992600
30,2,2,11804,0.014900,0.994300
31,7,8,11438,0.014400,0.995900
32,4,2,9941,0.012500,0.997300
33,7,4,7171,0.009000,0.998300
34,3,9,4566,0.005700,0.998900
35,7,2,3403,0.004300,0.999400
36,1,3,1704,0.002100,0.999600
37,6,7,1453,0.001800,0.999800
38,9,2,1161,0.001500,1.000000
39,6,1,66,0.000100,1.000000
