DISTRICT,POPULATION,DISTRICT%
"1/1",621768,0.817700
"1/3",137770,0.181200
"2/1",91007,0.119700
"2/2",553527,0.728000
"2/4",115730,0.152200
"3/1",54895,0.072200
"3/3",404233,0.531600
"3/6",5463,0.007200
"3/7",295063,0.388100
"4/3",101114,0.133000
"4/4",381636,0.501900
"4/7",51719,0.068000
"4/10",226449,0.297800
"5/5",628843,0.827000
"5/9",115805,0.152300
"5/13",12955,0.017000
"5/18",2312,0.003000
"5/19",960,0.001300
"6/3",22979,0.030200
"6/5",1380,0.001800
"6/6",472453,0.621400
"6/7",220737,0.290300
"6/9",43345,0.057000
"7/3",90785,0.119400
"7/6",255072,0.335500
"7/7",189698,0.249500
"7/10",225473,0.296500
"8/2",175942,0.231400
"8/4",146982,0.193300
"8/8",271300,0.356800
"8/11",24960,0.032800
"8/12",103378,0.136000
"8/14",37143,0.048800
"9/6",30070,0.039500
"9/8",4740,0.006200
"9/9",607286,0.798700
"9/10",118003,0.155200
"10/2",28458,0.037400
"10/4",121508,0.159800
"10/8",366425,0.481900
"10/10",187990,0.247200
"10/19",57114,0.075100
"11/2",5837,0.007700
"11/11",631014,0.829900
"11/12",111545,0.146700
"11/15",12824,0.016900
"12/11",5542,0.007300
"12/12",543509,0.714800
"12/14",136631,0.179700
"12/15",0,0.000000
"12/18",0,0.000000
"12/19",77011,0.101300
"13/5",120802,0.158900
"13/13",540225,0.710500
"13/18",15588,0.020500
"13/21",43249,0.056900
"13/22",36564,0.048100
"13/24",5034,0.006600
"14/8",116347,0.153000
"14/14",323884,0.426000
"14/19",321530,0.422900
"15/11",97140,0.127800
"15/15",659898,0.867900
"16/15",1501,0.002000
"16/16",540267,0.710600
"16/17",114179,0.150200
"16/18",103324,0.135900
"17/14",261185,0.343500
"17/15",85512,0.112500
"17/16",41052,0.054000
"17/17",371551,0.488700
"18/13",61124,0.080400
"18/16",2403,0.003200
"18/18",634752,0.834800
"18/24",62890,0.082700
"19/16",175863,0.231300
"19/17",273098,0.359200
"19/18",7513,0.009900
"19/19",303198,0.398800
"20/20",440032,0.578700
"20/21",1307,0.001700
"20/22",204304,0.268700
"20/24",56980,0.074900
"20/27",56465,0.074300
"20/33",941,0.001200
"21/5",11152,0.014700
"21/13",149405,0.196500
"21/21",436420,0.574000
"21/22",162370,0.213500
"22/21",275770,0.362700
"22/22",377711,0.496800
"22/24",108037,0.142100
"23/23",446096,0.586700
"23/27",702,0.000900
"23/33",299786,0.394300
"23/35",14361,0.018900
"24/20",13352,0.017600
"24/24",538662,0.708400
"24/26",207699,0.273200
"25/25",225421,0.296500
"25/33",78637,0.103400
"25/41",218241,0.287000
"25/48",25987,0.034200
"25/51",211850,0.278600
"26/20",274708,0.361300
"26/26",484449,0.637100
"27/20",4418,0.005800
"27/27",298395,0.392400
"27/29",457743,0.602000
"28/27",39616,0.052100
"28/28",553288,0.727700
"28/31",67518,0.088800
