REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,50,8,692099,0.910200,0.017500
2,47,45,664795,0.874300,0.034300
3,8,1,646630,0.850400,0.050700
4,9,2,641304,0.843400,0.066900
5,20,6,639588,0.841200,0.083100
6,5,9,624521,0.821400,0.098900
7,16,21,607503,0.799000,0.114200
8,52,11,606208,0.797300,0.129600
9,1,14,594537,0.781900,0.144600
10,13,20,592166,0.778800,0.159600
11,26,32,542399,0.713400,0.173300
12,23,28,517932,0.681200,0.186400
13,6,3,513145,0.674900,0.199400
14,33,34,504190,0.663100,0.212100
15,29,31,504014,0.662900,0.224900
16,30,39,500970,0.658900,0.237500
17,36,19,482659,0.634800,0.249700
18,37,42,482366,0.634400,0.261900
19,14,18,480725,0.632200,0.274100
20,27,30,477297,0.627700,0.286200
21,39,44,477138,0.627500,0.298200
22,25,36,476913,0.627200,0.310300
23,22,27,473996,0.623400,0.322300
24,18,23,462572,0.608400,0.334000
25,7,7,459643,0.604500,0.345600
26,48,48,456048,0.599800,0.357200
27,2,12,449976,0.591800,0.368500
28,28,29,443923,0.583800,0.379800
29,10,17,424045,0.557700,0.390500
30,21,33,419859,0.552200,0.401100
31,44,4,416909,0.548300,0.411700
32,15,49,415212,0.546100,0.422200
33,3,15,413139,0.543400,0.432600
34,11,5,413010,0.543200,0.443100
35,31,37,412439,0.542400,0.453500
36,12,13,396015,0.520800,0.463500
37,45,38,394870,0.519300,0.473500
38,34,41,393455,0.517500,0.483400
39,51,10,383962,0.505000,0.493100
40,42,40,381081,0.501200,0.502800
41,19,25,377425,0.496400,0.512300
42,46,46,373767,0.491600,0.521800
43,17,22,372184,0.489500,0.531200
44,4,10,367358,0.483100,0.540500
45,49,47,366724,0.482300,0.549800
46,41,41,366274,0.481700,0.559000
47,32,37,344955,0.453700,0.567800
48,38,50,342597,0.450600,0.576400
49,11,4,334358,0.439700,0.584900
50,49,51,316024,0.415600,0.592900
51,38,52,311987,0.410300,0.600800
52,40,51,307660,0.404600,0.608500
53,48,46,301625,0.396700,0.616200
54,35,23,298118,0.392100,0.623700
55,24,26,297463,0.391200,0.631200
56,18,22,297141,0.390800,0.638700
