DISTRICT,POPULATION,DISTRICT%
"1/1",445550,0.617300
"1/6",80987,0.112200
"1/7",195177,0.270400
"2/2",328535,0.455200
"2/3",126857,0.175800
"2/7",2311,0.003200
"2/8",264017,0.365800
"3/3",512000,0.709400
"3/5",209730,0.290600
"4/2",160267,0.222100
"4/4",359582,0.498200
"4/5",38057,0.052700
"4/6",150404,0.208400
"4/7",13484,0.018700
"5/4",273420,0.378800
"5/5",448294,0.621200
"6/1",93794,0.130000
"6/4",70019,0.097000
"6/6",378236,0.524100
"6/7",179632,0.248900
"7/1",1570,0.002200
"7/3",81315,0.112700
"7/4",18457,0.025600
"7/5",26089,0.036100
"7/7",331964,0.460000
"7/8",262302,0.363400
"8/1",180373,0.249900
"8/2",233335,0.323300
"8/6",112245,0.155500
"8/8",195711,0.271200
