REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,5,7,720701,0.941900,0.067300
2,3,9,664871,0.869000,0.129300
3,6,2,614750,0.803500,0.186700
4,11,6,601531,0.786200,0.242900
5,2,11,527233,0.689100,0.292100
6,10,12,526328,0.687900,0.341200
7,4,8,491250,0.642000,0.387100
8,9,13,477542,0.624100,0.431700
9,12,1,450597,0.588900,0.473800
10,8,3,435497,0.569200,0.514400
11,14,10,360543,0.471200,0.548100
12,13,4,352061,0.460100,0.580900
13,7,4,313718,0.410000,0.610200
14,7,5,273093,0.356900,0.635700
15,4,5,264523,0.345700,0.660400
16,13,1,257816,0.337000,0.684500
17,12,14,256457,0.335200,0.708400
18,8,10,251850,0.329200,0.731900
19,1,8,226231,0.295700,0.753000
20,1,5,225317,0.294500,0.774100
21,14,13,210149,0.274700,0.793700
22,9,14,196050,0.256200,0.812000
23,7,3,177152,0.231500,0.828500
24,2,14,158563,0.207200,0.843300
25,10,10,152963,0.199900,0.857600
26,6,14,150317,0.196500,0.871700
27,13,2,150065,0.196100,0.885700
28,1,3,149082,0.194800,0.899600
29,14,11,108775,0.142200,0.909700
30,11,4,99925,0.130600,0.919100
31,1,11,98876,0.129200,0.928300
32,9,12,91198,0.119200,0.936800
33,14,12,88003,0.115000,0.945000
34,10,6,81840,0.107000,0.952700
35,2,13,78628,0.102800,0.960000
36,8,6,76725,0.100300,0.967200
37,1,9,66114,0.086400,0.973300
38,12,12,59084,0.077200,0.978900
39,11,1,57736,0.075500,0.984200
40,3,8,37100,0.048500,0.987700
41,3,7,36636,0.047900,0.991100
42,5,9,34459,0.045000,0.994300
43,3,11,28389,0.037100,0.997000
44,5,8,12391,0.016200,0.998200
45,4,7,7731,0.010100,0.998900
46,13,6,4001,0.005200,0.999200
47,11,3,3854,0.005000,0.999600
48,10,14,3367,0.004400,0.999900
49,11,12,826,0.001100,1.000000
