DISTRICT,POPULATION,DISTRICT%
"1/1",719848,0.954800
"1/2",34418,0.045700
"2/2",704478,0.934400
"2/3",10000,0.013300
"2/4",38924,0.051600
"3/2",15231,0.020200
"3/3",689527,0.914600
"3/4",30429,0.040400
"3/5",18117,0.024000
"4/1",32453,0.043000
"4/2",469,0.000600
"4/4",600392,0.796300
"4/6",1971,0.002600
"4/7",32881,0.043600
"4/8",86029,0.114100
"5/3",53002,0.070300
"5/4",8856,0.011700
"5/5",423379,0.561600
"5/7",268769,0.356500
"6/4",78316,0.103900
"6/5",146359,0.194100
"6/6",452449,0.600100
"6/8",3151,0.004200
"6/9",73323,0.097300
"7/6",299475,0.397200
"7/7",454428,0.602700
"8/8",662265,0.878400
"8/9",92117,0.122200
"9/5",168444,0.223400
"9/9",586028,0.777300
