REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,6,6,719316,0.926600,0.154400
2,2,2,439919,0.566700,0.248900
3,1,1,405812,0.522800,0.336000
4,4,5,404485,0.521000,0.422800
5,1,3,371922,0.479100,0.502700
6,3,2,336400,0.433300,0.574900
7,2,1,335413,0.432100,0.646900
8,5,5,314463,0.405100,0.714400
9,4,4,314255,0.404800,0.781900
10,5,4,262983,0.338800,0.838400
11,3,3,240253,0.309500,0.890000
12,3,4,198518,0.255700,0.932600
13,5,3,162660,0.209500,0.967500
14,4,6,57130,0.073600,0.979800
15,6,5,56954,0.073400,0.992000
16,5,1,36437,0.046900,0.999800
17,3,1,837,0.001100,1.000000
18,2,3,0,0.000000,1.000000
