DISTRICT,POPULATION,DISTRICT%
"1/1",684318,0.886200
"1/2",56915,0.073700
"1/5",6474,0.008400
"1/7",24833,0.032200
"2/1",76560,0.099200
"2/2",408988,0.529700
"2/3",66352,0.085900
"2/6",208762,0.270400
"2/7",9832,0.012700
"3/3",495851,0.642200
"3/4",149481,0.193600
"3/7",128649,0.166600
"4/4",613132,0.794100
"4/5",160003,0.207200
"5/4",6607,0.008600
"5/5",606343,0.785300
"5/7",157287,0.203700
"6/6",561343,0.727000
"6/8",207217,0.268400
"7/1",9316,0.012100
"7/2",302680,0.392000
"7/3",12016,0.015600
"7/7",449492,0.582100
"8/3",201432,0.260900
"8/4",1483,0.001900
"8/6",7682,0.009900
"8/8",564176,0.730700
