REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,4,7,538362,0.754700,0.094300
2,7,5,484435,0.679100,0.179200
3,2,2,481686,0.675300,0.263600
4,6,4,479585,0.672300,0.347700
5,1,8,448580,0.628900,0.426300
6,5,3,396747,0.556200,0.495800
7,3,1,386330,0.541600,0.563500
8,5,6,318604,0.446700,0.619400
9,3,2,232075,0.325300,0.660000
10,8,4,202614,0.284000,0.695500
11,4,6,173254,0.242900,0.725900
12,1,7,165477,0.232000,0.754900
13,6,3,144849,0.203100,0.780300
14,8,5,143160,0.200700,0.805400
15,8,3,142262,0.199400,0.830300
16,8,6,140665,0.197200,0.854900
17,7,1,131903,0.184900,0.878100
18,2,1,131469,0.184300,0.901100
19,2,8,101422,0.142200,0.918900
20,1,5,79111,0.110900,0.932700
21,8,8,72956,0.102300,0.945500
22,7,8,67906,0.095200,0.957400
23,6,1,60607,0.085000,0.968000
24,3,6,58569,0.082100,0.978300
25,7,4,29415,0.041200,0.983400
26,3,8,24352,0.034100,0.987700
27,6,6,23600,0.033100,0.991900
28,1,3,19844,0.027800,0.995300
29,8,7,11317,0.015900,0.997300
30,3,3,10756,0.015100,0.999200
31,6,5,4582,0.006400,1.000000
