DISTRICT,POPULATION,DISTRICT%
"1/1",583117,0.757900
"1/2",187833,0.244100
"2/1",186817,0.242800
"2/2",367930,0.478200
"2/3",215941,0.280700
"3/3",534337,0.694500
"3/6",136602,0.177600
"3/8",96465,0.125400
"4/3",17856,0.023200
"4/4",561571,0.729900
"4/6",32333,0.042000
"4/7",41565,0.054000
"4/8",114475,0.148800
"5/4",167173,0.217300
"5/5",571607,0.743000
"5/6",30322,0.039400
"6/5",199523,0.259300
"6/6",571469,0.742800
"7/4",38979,0.050700
"7/7",729787,0.948600
"8/2",214025,0.278200
"8/8",555186,0.721600
