DISTRICT,POPULATION,DISTRICT%
"1/1",665808,0.865400
"1/2",103556,0.134600
"2/1",104081,0.135300
"2/2",411107,0.534300
"2/3",154589,0.200900
"2/8",99587,0.129400
"3/1",1061,0.001400
"3/2",251113,0.326400
"3/3",255370,0.331900
"3/4",183133,0.238000
"3/8",78687,0.102300
"4/3",86223,0.112100
"4/4",350124,0.455100
"4/5",274832,0.357200
"4/7",58185,0.075600
"5/5",488870,0.635400
"5/6",280494,0.364600
"6/3",271222,0.352500
"6/4",2244,0.002900
"6/5",5400,0.007000
"6/6",490498,0.637500
"7/4",58784,0.076400
"7/7",710581,0.923600
"8/2",4912,0.006400
"8/4",173515,0.225500
"8/8",590937,0.768100
