REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,1,709971,0.952100,0.068000
2,6,8,695665,0.932900,0.134600
3,8,14,641704,0.860600,0.196100
4,3,13,584027,0.783200,0.252100
5,9,3,525591,0.704900,0.302400
6,10,6,497269,0.666900,0.350000
7,13,2,488159,0.654700,0.396800
8,5,9,482265,0.646800,0.443000
9,2,12,432490,0.580000,0.484400
10,7,11,429136,0.575500,0.525500
11,14,10,402249,0.539400,0.564100
12,4,5,391046,0.524400,0.601500
13,14,11,317080,0.425200,0.631900
14,4,4,315955,0.423700,0.662200
15,11,5,314098,0.421200,0.692300
16,12,7,311674,0.418000,0.722100
17,12,2,253225,0.339600,0.746400
18,13,4,231041,0.309800,0.768500
19,11,7,221994,0.297700,0.789800
20,11,6,203473,0.272900,0.809300
21,9,4,200383,0.268700,0.828400
22,5,10,192355,0.258000,0.846900
23,12,3,182699,0.245000,0.864400
24,10,7,168403,0.225800,0.880500
25,2,13,161622,0.216700,0.896000
26,7,12,155349,0.208300,0.910900
27,7,9,153830,0.206300,0.925600
28,2,10,153226,0.205500,0.940300
29,3,14,103478,0.138800,0.950200
30,10,9,79606,0.106800,0.957800
31,8,12,72351,0.097000,0.964800
32,3,12,57937,0.077700,0.970300
33,5,6,44030,0.059000,0.974500
34,1,5,37471,0.050300,0.978100
35,4,1,36405,0.048800,0.981600
36,8,8,31260,0.041900,0.984600
37,6,9,30477,0.040900,0.987500
38,13,3,28838,0.038700,0.990300
39,14,12,25964,0.034800,0.992800
40,6,7,19413,0.026000,0.994600
41,5,7,14673,0.019700,0.996000
42,9,7,8596,0.011500,0.996800
43,7,8,8488,0.011400,0.997700
44,5,8,7941,0.010600,0.998400
45,11,3,5602,0.007500,0.999000
46,9,5,4501,0.006000,0.999400
47,9,2,4047,0.005400,0.999800
48,6,12,2331,0.003100,1.000000
