DISTRICT,POPULATION,DISTRICT%
"1/1",359323,0.508800
"1/3",107857,0.152700
"1/4",187894,0.266100
"1/6",51840,0.073400
"2/2",416096,0.589200
"2/5",289918,0.410500
"3/1",81610,0.115600
"3/3",473794,0.670900
"3/6",151034,0.213900
"4/2",283307,0.401200
"4/4",393074,0.556600
"4/6",29985,0.042500
"5/1",102931,0.145800
"5/2",5857,0.008300
"5/3",101715,0.144000
"5/5",415463,0.588300
"5/6",78801,0.111600
"6/1",161875,0.229200
"6/2",1576,0.002200
"6/3",22854,0.032400
"6/4",124967,0.177000
"6/6",395485,0.560000
