DISTRICT,POPULATION,DISTRICT%
"1/1",643160,0.879600
"1/6",88266,0.120700
"2/1",13564,0.018600
"2/2",385810,0.527600
"2/3",203435,0.278200
"2/6",127642,0.174600
"3/2",344764,0.471500
"3/3",251046,0.343300
"3/4",134922,0.184500
"4/3",191212,0.261500
"4/4",540222,0.738800
"5/3",84851,0.116000
"5/4",55497,0.075900
"5/5",425247,0.581600
"5/6",26827,0.036700
"5/7",138790,0.189800
"6/1",72651,0.099400
"6/6",488405,0.667900
"6/7",170525,0.233200
"7/1",1975,0.002700
"7/5",305447,0.417700
"7/6",488,0.000700
"7/7",423679,0.579400
