DISTRICT,POPULATION,DISTRICT%
"1/1",716716,0.933400
"1/3",51617,0.067200
"2/1",49886,0.065000
"2/2",379683,0.494500
"2/3",312457,0.406900
"2/4",24772,0.032300
"3/2",311483,0.405600
"3/3",404689,0.527000
"3/4",50815,0.066200
"4/2",75873,0.098800
"4/4",575271,0.749200
"4/5",36472,0.047500
"4/6",79142,0.103100
"5/4",30274,0.039400
"5/5",431036,0.561300
"5/6",21415,0.027900
"5/7",286853,0.373600
"6/4",86476,0.112600
"6/5",23243,0.030300
"6/6",647644,0.843400
"6/7",12683,0.016500
"7/5",276765,0.360400
"7/6",18406,0.024000
"7/7",446202,0.581100
"7/9",25391,0.033100
"8/7",22207,0.028900
"8/8",424068,0.552300
"8/9",324553,0.422700
"9/8",345840,0.450400
"9/9",418908,0.545500
