DISTRICT,POPULATION,DISTRICT%
"1/1",720606,0.938400
"1/2",47265,0.061600
"2/1",47727,0.062200
"2/2",614074,0.799700
"2/3",106070,0.138100
"3/2",89540,0.116600
"3/3",594791,0.774600
"3/4",83540,0.108800
"4/3",46649,0.060800
"4/4",370542,0.482600
"4/5",281825,0.367000
"4/6",68856,0.089700
"5/4",5903,0.007700
"5/5",396836,0.516800
"5/6",268297,0.349400
"5/7",96835,0.126100
"6/2",15919,0.020700
"6/3",19477,0.025400
"6/4",306773,0.399500
"6/6",409265,0.533000
"6/7",16437,0.021400
"7/5",90917,0.118400
"7/6",23628,0.030800
"7/7",638573,0.831600
"7/8",14753,0.019200
"8/7",14919,0.019400
"8/8",665068,0.866100
"8/9",87884,0.114500
"9/8",91007,0.118500
"9/9",676864,0.881500
