DISTRICT,POPULATION,DISTRICT%
"1/1",491316,0.640600
"1/6",275565,0.359300
"1/10",461,0.000600
"2/2",524802,0.684200
"2/8",151847,0.198000
"2/14",52279,0.068200
"2/18",5554,0.007200
"2/38",34293,0.044700
"3/3",390634,0.509300
"3/4",134564,0.175400
"3/6",181238,0.236300
"3/32",56268,0.073400
"4/3",136690,0.178200
"4/4",317587,0.414100
"4/26",312670,0.407700
"5/5",315144,0.410900
"5/6",34174,0.044600
"5/30",23168,0.030200
"5/32",395443,0.515600
"6/1",211638,0.275900
"6/5",254089,0.331300
"6/6",276590,0.360600
"6/10",26541,0.034600
"7/7",431165,0.562200
"7/9",211845,0.276200
"7/18",71773,0.093600
"7/22",50379,0.065700
"8/2",2518,0.003300
"8/8",558297,0.727900
"8/10",6696,0.008700
"8/38",199134,0.259600
"9/7",219110,0.285700
"9/22",171828,0.224000
"9/29",25107,0.032700
"9/36",349967,0.456300
"10/8",53905,0.070300
"10/9",0,0.000000
"10/10",674936,0.880000
"10/22",4473,0.005800
"10/27",21429,0.027900
"10/38",11869,0.015500
"11/11",455542,0.593900
"11/13",58622,0.076400
"11/16",32694,0.042600
"11/19",221694,0.289000
"12/4",9076,0.011800
"12/12",625893,0.816000
"12/17",37136,0.048400
"12/24",17468,0.022800
"12/25",78279,0.102100
"13/11",58196,0.075900
"13/13",707034,0.921800
"14/1",62998,0.082100
"14/8",1250,0.001600
"14/10",10720,0.014000
"14/14",691111,0.901100
"15/15",640982,0.835700
"15/23",60887,0.079400
"15/34",65411,0.085300
"16/16",734257,0.957300
"16/19",32079,0.041800
"17/10",8977,0.011700
"17/17",331683,0.432400
"17/19",23657,0.030800
"17/31",402232,0.524400
"18/2",15632,0.020400
"18/7",43220,0.056400
"18/18",607927,0.792600
"18/38",102066,0.133100
"19/4",195416,0.254800
"19/11",251654,0.328100
"19/12",51658,0.067400
"19/13",626,0.000800
"19/17",150071,0.195700
"19/19",116596,0.152000
"20/20",435674,0.568000
"20/21",221845,0.289200
"20/27",837,0.001100
"20/28",107246,0.139800
"21/19",165631,0.216000
"21/20",27015,0.035200
"21/21",536694,0.699700
"21/28",35960,0.046900
"22/9",222817,0.290500
"22/10",4352,0.005700
"22/22",536996,0.700100
"23/15",57664,0.075200
"23/19",140685,0.183400
"23/20",304670,0.397200
"23/21",6417,0.008400
"23/23",256635,0.334600
"24/4",109750,0.143100
"24/12",57390,0.074800
"24/24",494813,0.645100
"24/25",5102,0.006700
"24/26",102535,0.133700
"25/5",34849,0.045400
"25/10",769,0.001000
"25/12",31291,0.040800
"25/17",247131,0.322200
"25/25",447198,0.583100
"25/30",779,0.001000
"26/3",207034,0.269900
"26/26",351928,0.458800
"26/33",208342,0.271600
"27/22",3034,0.004000
"27/23",450375,0.587200
"27/27",296258,0.386300
"27/36",16133,0.021000
"28/20",383,0.000500
"28/21",1546,0.002000
"28/27",117566,0.153300
"28/28",623296,0.812700
"28/35",24333,0.031700
"29/2",125532,0.163700
"29/7",73602,0.096000
"29/18",67738,0.088300
"29/29",483177,0.630000
"29/36",19019,0.024800
"30/5",163389,0.213000
"30/17",1889,0.002500
"30/30",574410,0.748900
"30/33",30939,0.040300
"31/19",61643,0.080400
"31/31",365649,0.476700
"31/35",78580,0.102500
"31/37",261166,0.340500
"32/3",32998,0.043000
"32/30",93793,0.122300
"32/32",314472,0.410000
"32/33",324584,0.423200
"33/24",254290,0.331500
"33/25",235686,0.307300
"33/30",75757,0.098800
"33/33",203232,0.265000
"34/15",69328,0.090400
"34/23",153,0.000200
"34/34",701302,0.914400
"35/19",2815,0.003700
"35/27",140090,0.182700
"35/35",626464,0.816800
"36/2",99047,0.129100
"36/14",23184,0.030200
"36/29",259789,0.338700
"36/36",383744,0.500300
"37/10",32526,0.042400
"37/27",188814,0.246200
"37/35",39125,0.051000
"37/37",507122,0.661200
"38/9",334035,0.435500
"38/18",13429,0.017500
"38/38",420290,0.548000
