REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,38,1,734257,0.957300,0.025200
2,2,10,707034,0.921800,0.049500
3,4,13,701302,0.914400,0.073500
4,12,21,691111,0.901100,0.097200
5,7,29,674936,0.880000,0.120400
6,13,14,640982,0.835700,0.142400
7,8,25,626464,0.816800,0.163900
8,20,8,625893,0.816000,0.185300
9,18,24,623296,0.812700,0.206700
10,27,36,607927,0.792600,0.227600
11,32,18,574410,0.748900,0.247300
12,23,32,558297,0.727900,0.266500
13,22,34,536996,0.700100,0.284900
14,5,23,536694,0.699700,0.303300
15,28,31,524802,0.684200,0.321300
16,14,27,507122,0.661200,0.338700
17,36,6,494813,0.645100,0.355700
18,11,20,491316,0.640600,0.372500
19,21,38,483177,0.630000,0.389100
20,9,11,455542,0.593900,0.404700
21,1,15,450375,0.587200,0.420200
22,30,7,447198,0.583100,0.435500
23,16,22,435674,0.568000,0.450500
24,29,37,431165,0.562200,0.465300
25,25,30,420290,0.548000,0.479700
26,10,26,402232,0.524400,0.493500
27,17,5,395443,0.515600,0.507100
28,31,2,390634,0.509300,0.520500
29,24,33,383744,0.500300,0.533600
30,15,26,365649,0.476700,0.546200
31,33,3,351928,0.458800,0.558300
32,26,33,349967,0.456300,0.570300
33,25,35,334035,0.435500,0.581700
34,10,17,331683,0.432400,0.593100
35,34,4,324584,0.423200,0.604200
36,37,9,317587,0.414100,0.615100
37,17,19,315144,0.410900,0.626000
38,34,5,314472,0.410000,0.636700
39,37,3,312670,0.407700,0.647500
40,19,22,304670,0.397200,0.657900
41,1,28,296258,0.386300,0.668100
42,6,16,276590,0.360600,0.677600
43,11,16,275565,0.359300,0.687000
44,15,27,261166,0.340500,0.696000
45,24,38,259789,0.338700,0.704900
46,19,15,256635,0.334600,0.713700
47,35,6,254290,0.331500,0.722400
48,6,19,254089,0.331300,0.731200
49,3,11,251654,0.328100,0.739800
50,30,17,247131,0.322200,0.748300
51,35,7,235686,0.307300,0.756400
52,22,35,222817,0.290500,0.764000
53,16,23,221845,0.289200,0.771600
54,9,12,221694,0.289000,0.779200
55,26,37,219110,0.285700,0.786700
56,29,35,211845,0.276200,0.794000
57,6,20,211638,0.275900,0.801300
58,33,4,208342,0.271600,0.808400
59,33,2,207034,0.269900,0.815500
60,35,4,203232,0.265000,0.822500
61,23,30,199134,0.259600,0.829300
62,3,9,195416,0.254800,0.836000
63,14,28,188814,0.246200,0.842500
64,31,16,181238,0.236300,0.848700
65,26,34,171828,0.224000,0.854600
66,5,12,165631,0.216000,0.860300
67,32,19,163389,0.213000,0.865900
68,28,32,151847,0.198000,0.871100
69,3,17,150071,0.195700,0.876300
70,19,12,140685,0.183400,0.881100
71,8,28,140090,0.182700,0.885900
72,37,2,136690,0.178200,0.890600
73,31,9,134564,0.175400,0.895200
74,21,31,125532,0.163700,0.899500
75,18,28,117566,0.153300,0.903500
76,3,12,116596,0.152000,0.907600
77,36,9,109750,0.143100,0.911300
78,16,24,107246,0.139800,0.915000
79,36,3,102535,0.133700,0.918500
80,27,30,102066,0.133100,0.922000
81,24,31,99047,0.129100,0.925400
82,34,18,93793,0.122300,0.928600
83,15,25,78580,0.102500,0.931300
84,20,7,78279,0.102100,0.934000
85,35,18,75757,0.098800,0.936600
86,21,37,73602,0.096000,0.939100
87,29,36,71773,0.093600,0.941600
88,4,14,69328,0.090400,0.944000
89,21,36,67738,0.088300,0.946300
90,13,13,65411,0.085300,0.948500
91,12,20,62998,0.082100,0.950700
92,15,12,61643,0.080400,0.952800
93,13,15,60887,0.079400,0.954900
94,9,10,58622,0.076400,0.956900
95,2,11,58196,0.075900,0.958900
96,19,14,57664,0.075200,0.960900
97,36,8,57390,0.074800,0.962900
98,31,5,56268,0.073400,0.964800
99,7,32,53905,0.070300,0.966600
100,28,21,52279,0.068200,0.968400
101,3,8,51658,0.067400,0.970200
102,29,34,50379,0.065700,0.971900
103,27,37,43220,0.056400,0.973400
104,14,25,39125,0.051000,0.974800
105,20,17,37136,0.048400,0.976000
106,5,24,35960,0.046900,0.977300
107,30,19,34849,0.045400,0.978500
108,28,30,34293,0.044700,0.979600
109,17,16,34174,0.044600,0.980800
110,34,2,32998,0.043000,0.982000
111,9,1,32694,0.042600,0.983100
112,14,29,32526,0.042400,0.984200
113,38,12,32079,0.041800,0.985300
114,30,8,31291,0.040800,0.986400
115,32,4,30939,0.040300,0.987400
116,5,22,27015,0.035200,0.988400
117,6,29,26541,0.034600,0.989300
118,26,38,25107,0.032700,0.990100
119,18,25,24333,0.031700,0.991000
120,10,12,23657,0.030800,0.991800
121,24,21,23184,0.030200,0.992600
122,17,18,23168,0.030200,0.993400
123,7,28,21429,0.027900,0.994100
124,21,33,19019,0.024800,0.994800
125,20,6,17468,0.022800,0.995400
126,1,33,16133,0.021000,0.995900
127,27,31,15632,0.020400,0.996400
128,25,36,13429,0.017500,0.996900
129,7,30,11869,0.015500,0.997300
130,12,29,10720,0.014000,0.997700
131,20,9,9076,0.011800,0.998000
132,10,29,8977,0.011700,0.998300
133,23,29,6696,0.008700,0.998500
134,19,23,6417,0.008400,0.998700
135,28,36,5554,0.007200,0.998900
136,36,7,5102,0.006700,0.999100
137,7,34,4473,0.005800,0.999300
138,22,29,4352,0.005700,0.999400
139,1,34,3034,0.004000,0.999500
140,8,12,2815,0.003700,0.999600
141,23,31,2518,0.003300,0.999700
142,32,17,1889,0.002500,0.999800
143,18,23,1546,0.002000,0.999800
144,12,32,1250,0.001600,0.999900
145,16,28,837,0.001100,0.999900
146,30,18,779,0.001000,0.999900
147,30,29,769,0.001000,0.999900
148,3,10,626,0.000800,1.000000
149,11,29,461,0.000600,1.000000
150,18,22,383,0.000500,1.000000
151,4,15,153,0.000200,1.000000
152,7,35,0,0.000000,1.000000
