DISTRICT,POPULATION,DISTRICT%
"1/1",472119,0.615600
"1/5",10359,0.013500
"1/6",243689,0.317700
"1/8",41175,0.053700
"2/2",427963,0.558000
"2/8",109932,0.143300
"2/14",14405,0.018800
"2/18",49805,0.064900
"2/29",166670,0.217300
"3/3",352145,0.459100
"3/5",7120,0.009300
"3/6",38936,0.050800
"3/19",9624,0.012500
"3/26",239661,0.312500
"3/30",25466,0.033200
"3/32",89752,0.117000
"4/4",299600,0.390600
"4/19",170790,0.222700
"4/26",143850,0.187600
"4/30",4716,0.006100
"4/32",147991,0.193000
"5/3",332102,0.433000
"5/5",213284,0.278100
"5/25",7069,0.009200
"5/30",159045,0.207400
"5/32",56429,0.073600
"6/3",3106,0.004000
"6/5",335259,0.437100
"6/6",351715,0.458600
"6/8",7871,0.010300
"6/25",13830,0.018000
"6/30",48179,0.062800
"6/37",8898,0.011600
"7/7",384856,0.501800
"7/9",60604,0.079000
"7/14",3876,0.005100
"7/22",5282,0.006900
"7/29",86463,0.112700
"7/38",224081,0.292200
"8/2",11569,0.015100
"8/8",330158,0.430500
"8/18",404854,0.527900
"8/38",20064,0.026200
"9/9",598297,0.780100
"9/20",9174,0.012000
"9/36",25107,0.032700
"9/38",133434,0.174000
"10/6",1792,0.002300
"10/7",21949,0.028600
"10/8",188027,0.245200
"10/10",165467,0.215700
"10/20",36117,0.047100
"10/37",271076,0.353400
"10/38",82184,0.107200
"11/11",459396,0.599000
"11/13",119792,0.156200
"11/16",56005,0.073000
"11/23",133359,0.173900
"12/12",560503,0.730800
"12/19",133902,0.174600
"12/25",73447,0.095800
"13/11",2885,0.003800
"13/13",647617,0.844400
"13/19",114728,0.149600
"14/1",292061,0.380800
"14/2",85754,0.111800
"14/8",10001,0.013000
"14/14",268278,0.349800
"14/29",109985,0.143400
"15/15",437529,0.570500
"15/27",299974,0.391100
"15/34",29777,0.038800
"16/16",711665,0.927900
"16/23",54671,0.071300
"17/6",79167,0.103200
"17/10",1876,0.002400
"17/17",395586,0.515800
"17/31",191827,0.250100
"17/35",2030,0.002600
"17/37",96063,0.125200
"18/2",204610,0.266800
"18/8",80184,0.104500
"18/14",44605,0.058200
"18/18",210250,0.274100
"18/29",131756,0.171800
"18/38",97440,0.127000
"19/11",304347,0.396800
"19/17",886,0.001200
"19/19",281961,0.367600
"19/21",3395,0.004400
"19/23",948,0.001200
"19/25",64128,0.083600
"19/31",110356,0.143900
"20/20",416400,0.542900
"20/21",275252,0.358900
"20/23",22497,0.029300
"20/28",51453,0.067100
"21/21",349837,0.456100
"21/23",19587,0.025500
"21/28",366812,0.478300
"21/31",122,0.000200
"21/35",28942,0.037700
"22/7",7462,0.009700
"22/9",76131,0.099300
"22/10",15575,0.020300
"22/20",26384,0.034400
"22/22",638613,0.832600
"23/21",125639,0.163800
"23/23",536536,0.699500
"23/27",103896,0.135500
"24/4",29395,0.038300
"24/12",136802,0.178400
"24/19",57911,0.075500
"24/24",280187,0.365300
"24/30",124979,0.162900
"24/33",140316,0.182900
"25/6",43763,0.057100
"25/12",70240,0.091600
"25/17",10835,0.014100
"25/24",295347,0.385100
"25/25",341063,0.444700
"25/37",769,0.001000
"26/4",275350,0.359000
"26/26",207034,0.269900
"26/30",124469,0.162300
"26/32",160451,0.209200
"27/20",105672,0.137800
"27/23",79,0.000100
"27/27",363713,0.474200
"27/34",296336,0.386400
"28/10",172706,0.225200
"28/20",160881,0.209800
"28/28",322507,0.420500
"28/35",111030,0.144800
"29/2",36759,0.047900
"29/14",255104,0.332600
"29/29",214454,0.279600
"29/36",246065,0.320800
"29/38",16686,0.021800
"30/5",200244,0.261100
"30/6",7685,0.010000
"30/25",263733,0.343900
"30/30",166518,0.217100
"30/33",132447,0.172700
"31/17",173818,0.226600
"31/21",12990,0.016900
"31/31",399820,0.521300
"31/35",128817,0.168000
"31/37",51593,0.067300
"32/3",80011,0.104300
"32/4",161973,0.211200
"32/26",176885,0.230600
"32/30",34571,0.045100
"32/32",312407,0.407300
"33/24",190922,0.248900
"33/25",3855,0.005000
"33/30",79162,0.103200
"33/33",495026,0.645400
"34/15",329423,0.429500
"34/34",441360,0.575400
"35/10",273729,0.356900
"35/20",8849,0.011500
"35/28",25985,0.033900
"35/35",460806,0.600800
"36/9",31238,0.040700
"36/14",180826,0.235800
"36/29",58231,0.075900
"36/36",495469,0.646000
"37/10",139989,0.182500
"37/17",185763,0.242200
"37/20",2814,0.003700
"37/31",65387,0.085300
"37/35",35046,0.045700
"37/37",338588,0.441500
"38/7",352111,0.459100
"38/18",101927,0.132900
"38/22",120260,0.156800
"38/38",193456,0.252200
