DISTRICT,POPULATION,DISTRICT%
"1/1",531695,0.693200
"1/6",234781,0.306100
"1/14",866,0.001100
"2/2",169891,0.221500
"2/7",154562,0.201500
"2/8",102678,0.133900
"2/14",27454,0.035800
"2/29",51553,0.067200
"2/36",244264,0.318500
"2/38",18373,0.024000
"3/3",314951,0.410600
"3/4",330921,0.431500
"3/5",31719,0.041400
"3/6",59647,0.077800
"3/25",25466,0.033200
"4/3",45286,0.059000
"4/4",284040,0.370300
"4/6",170790,0.222700
"4/26",266831,0.347900
"5/5",371859,0.484800
"5/25",50783,0.066200
"5/30",267077,0.348200
"5/32",78210,0.102000
"6/1",159310,0.207700
"6/4",3106,0.004000
"6/6",284846,0.371400
"6/14",57517,0.075000
"6/17",8898,0.011600
"6/25",255181,0.332700
"7/2",175291,0.228500
"7/7",304794,0.397400
"7/9",54064,0.070500
"7/18",17741,0.023100
"7/22",213272,0.278100
"8/7",26589,0.034700
"8/8",435193,0.567400
"8/38",304863,0.397500
"9/2",162719,0.212200
"9/7",17729,0.023100
"9/9",505612,0.659200
"9/27",79952,0.104200
"10/8",197354,0.257300
"10/10",466328,0.608000
"10/14",37633,0.049100
"10/17",43348,0.056500
"10/38",21949,0.028600
"11/11",631003,0.822700
"11/13",72433,0.094400
"11/16",30373,0.039600
"11/19",46,0.000100
"11/23",34697,0.045200
"12/12",374001,0.487600
"12/24",42186,0.055000
"12/25",49080,0.064000
"12/33",302585,0.394500
"13/11",58609,0.076400
"13/13",694924,0.906000
"13/19",11697,0.015300
"14/1",75661,0.098600
"14/8",31563,0.041200
"14/14",643317,0.838800
"14/36",15538,0.020300
"15/15",506757,0.660700
"15/23",73820,0.096200
"15/27",33006,0.043000
"15/34",153697,0.200400
"16/11",29799,0.038900
"16/16",736537,0.960300
"17/17",695881,0.907300
"17/19",40959,0.053400
"17/31",29709,0.038700
"18/2",3297,0.004300
"18/7",237421,0.309600
"18/18",325728,0.424700
"18/22",197178,0.257100
"18/38",5221,0.006800
"19/6",3883,0.005100
"19/12",28624,0.037300
"19/19",581536,0.758200
"19/23",124005,0.161700
"19/24",6390,0.008300
"19/25",21583,0.028100
"20/20",318377,0.415100
"20/21",118466,0.154500
"20/28",328759,0.428600
"21/19",18894,0.024600
"21/20",163910,0.213700
"21/21",415001,0.541100
"21/23",146737,0.191300
"21/35",20758,0.027100
"22/9",176229,0.229800
"22/10",130192,0.169700
"22/18",71708,0.093500
"22/22",356592,0.464900
"22/27",29444,0.038400
"23/11",47543,0.062000
"23/21",233589,0.304600
"23/23",387657,0.505400
"23/28",94156,0.122800
"23/34",3126,0.004100
"24/4",125784,0.164000
"24/6",12879,0.016800
"24/24",503505,0.656500
"24/26",5126,0.006700
"24/33",122296,0.159500
"25/12",296622,0.386700
"25/17",18667,0.024300
"25/19",49166,0.064100
"25/25",214916,0.280200
"25/30",39505,0.051500
"25/33",143141,0.186600
"26/3",235000,0.306400
"26/4",23496,0.030600
"26/26",455925,0.594400
"26/32",52883,0.068900
"27/10",20200,0.026300
"27/27",624535,0.814300
"27/28",22056,0.028800
"27/34",99009,0.129100
"28/10",1861,0.002400
"28/20",284451,0.370900
"28/28",315736,0.411700
"28/35",165076,0.215200
"29/2",255574,0.333200
"29/7",25289,0.033000
"29/29",488205,0.636500
"30/19",1889,0.002500
"30/25",149572,0.195000
"30/30",432236,0.563600
"30/32",186930,0.243700
"31/19",60465,0.078800
"31/31",483502,0.630400
"31/35",37379,0.048700
"31/37",185692,0.242100
"32/3",171471,0.223600
"32/5",364107,0.474700
"32/30",5541,0.007200
"32/32",224728,0.293000
"33/12",68327,0.089100
"33/24",215607,0.281100
"33/26",38841,0.050600
"33/30",22876,0.029800
"33/32",224453,0.292600
"33/33",198861,0.259300
"34/15",260031,0.339000
"34/34",510752,0.665900
"35/10",68415,0.089200
"35/19",2815,0.003700
"35/28",5912,0.007700
"35/31",36338,0.047400
"35/35",543476,0.708600
"35/37",112413,0.146600
"36/9",31238,0.040700
"36/29",227431,0.296500
"36/36",507095,0.661200
"37/10",80157,0.104500
"37/31",218124,0.284400
"37/37",469306,0.611900
"38/18",351370,0.458100
"38/38",416384,0.542900
