REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,38,1,736537,0.960300,0.025300
2,12,34,708058,0.923200,0.049600
3,11,36,659690,0.860100,0.072200
4,2,15,654588,0.853500,0.094700
5,16,5,650095,0.847600,0.117000
6,28,13,555338,0.724100,0.136000
7,20,26,539571,0.703500,0.154500
8,6,37,534908,0.697400,0.172900
9,5,10,533190,0.695200,0.191200
10,15,3,517908,0.675300,0.208900
11,9,14,515260,0.671800,0.226600
12,25,31,487936,0.636200,0.243400
13,29,29,485724,0.633300,0.260000
14,10,17,481138,0.627300,0.276500
15,3,16,472260,0.615700,0.292700
16,32,22,453142,0.590800,0.308300
17,14,4,447469,0.583400,0.323600
18,22,27,445956,0.581400,0.338900
19,4,6,441360,0.575400,0.354100
20,13,7,440429,0.574200,0.369200
21,18,11,437937,0.571000,0.384200
22,19,8,433932,0.565800,0.399100
23,34,23,429497,0.560000,0.413900
24,1,32,425355,0.554600,0.428400
25,17,21,421680,0.549800,0.442900
26,23,33,420998,0.548900,0.457400
27,24,9,402334,0.524600,0.471200
28,21,12,388165,0.506100,0.484500
29,31,18,382094,0.498200,0.497600
30,8,2,379455,0.494700,0.510600
31,24,12,363430,0.473800,0.523100
32,37,19,358727,0.467700,0.535400
33,36,25,352937,0.460200,0.547500
34,33,19,351928,0.458800,0.559600
35,35,24,346247,0.451400,0.571500
36,26,9,340793,0.444300,0.583100
37,23,30,337799,0.440400,0.594700
38,7,38,335921,0.438000,0.606300
39,4,7,329423,0.429500,0.617600
40,35,25,314826,0.410500,0.628400
41,8,4,312772,0.407800,0.639100
42,17,22,295466,0.385200,0.649200
43,13,8,293674,0.382900,0.659300
44,1,6,292854,0.381800,0.669400
45,31,20,287542,0.374900,0.679200
46,34,21,287485,0.374800,0.689100
47,30,24,271312,0.353700,0.698400
48,37,20,261167,0.340500,0.707400
49,26,27,256691,0.334700,0.716200
50,27,31,256461,0.334400,0.725000
51,10,38,255702,0.333400,0.733700
52,27,30,242626,0.316300,0.742100
53,7,33,227459,0.296600,0.749900
54,30,35,223964,0.292000,0.757600
55,22,29,222817,0.290500,0.765200
56,14,3,220841,0.287900,0.772800
57,27,28,220720,0.287800,0.780300
58,36,20,211710,0.276000,0.787600
59,33,23,208342,0.271600,0.794800
60,33,18,207034,0.269900,0.801900
61,19,11,200774,0.261800,0.808800
62,29,28,195811,0.255300,0.815500
63,21,28,193636,0.252500,0.822100
64,21,13,187267,0.244200,0.828500
65,15,2,183055,0.238700,0.834800
66,20,35,171899,0.224100,0.840700
67,18,2,165076,0.215200,0.846400
68,26,28,158541,0.206700,0.851800
69,6,35,152744,0.199100,0.857100
70,32,35,149572,0.195000,0.862200
71,32,24,147516,0.192300,0.867300
72,37,18,143850,0.187600,0.872200
73,18,10,143764,0.187400,0.877100
74,25,30,142339,0.185600,0.882000
75,30,26,132397,0.172600,0.886500
76,3,17,131658,0.171700,0.891100
77,7,32,123108,0.160500,0.895300
78,9,15,114196,0.148900,0.899200
79,25,32,112768,0.147000,0.903100
80,2,16,110642,0.144300,0.906900
81,3,14,108104,0.140900,0.910600
82,35,23,107892,0.140700,0.914300
83,9,16,106402,0.138700,0.917900
84,28,33,102678,0.133900,0.921500
85,22,32,95392,0.124400,0.924700
86,5,17,93851,0.122400,0.928000
87,36,26,93175,0.121500,0.931100
88,11,37,91865,0.119800,0.934300
89,14,38,77343,0.100800,0.937000
90,6,36,77160,0.100600,0.939600
91,30,38,71653,0.093400,0.942100
92,7,37,66538,0.086800,0.944300
93,29,27,65886,0.085900,0.946600
94,30,25,61922,0.080700,0.948700
95,16,10,60793,0.079300,0.950800
96,15,17,60465,0.078800,0.952900
97,5,14,59877,0.078100,0.954900
98,36,16,57911,0.075500,0.956900
99,31,21,56268,0.073400,0.958900
100,8,11,54732,0.071400,0.960700
101,16,11,54714,0.071300,0.962600
102,36,19,53857,0.070200,0.964500
103,19,14,53296,0.069500,0.966300
104,3,35,51068,0.066600,0.968000
105,19,5,50634,0.066000,0.969800
106,5,5,45721,0.059600,0.971300
107,28,30,43425,0.056600,0.972800
108,28,34,37874,0.049400,0.974100
109,31,37,36800,0.048000,0.975400
110,20,25,36601,0.047700,0.976700
111,17,37,34174,0.044600,0.977800
112,13,6,33177,0.043300,0.979000
113,34,18,32998,0.043000,0.980100
114,27,29,32909,0.042900,0.981200
115,9,1,32694,0.042600,0.982400
116,1,8,30408,0.039600,0.983400
117,38,14,29799,0.038900,0.984400
118,10,3,29709,0.038700,0.985400
119,12,36,28622,0.037300,0.986400
120,19,10,27435,0.035800,0.987400
121,25,29,24711,0.032200,0.988200
122,5,2,20758,0.027100,0.988900
123,18,5,20347,0.026500,0.989600
124,8,38,19595,0.025500,0.990300
125,14,2,19120,0.024900,0.990900
126,32,23,18508,0.024100,0.991600
127,29,31,17741,0.023100,0.992200
128,20,16,17210,0.022400,0.992800
129,1,11,17183,0.022400,0.993400
130,17,35,16609,0.021700,0.993900
131,27,13,16129,0.021000,0.994500
132,34,22,15867,0.020700,0.995000
133,12,33,15833,0.020600,0.995600
134,11,34,15787,0.020600,0.996100
135,28,12,15055,0.019600,0.996600
136,28,9,14405,0.018800,0.997100
137,5,8,11903,0.015500,0.997500
138,12,9,11752,0.015300,0.997900
139,26,32,9987,0.013000,0.998300
140,23,13,7848,0.010200,0.998600
141,7,34,7242,0.009400,0.998800
142,7,31,6344,0.008300,0.999000
143,15,4,5610,0.007300,0.999200
144,6,20,4046,0.005300,0.999400
145,37,16,3203,0.004200,0.999500
146,3,38,2931,0.003800,0.999600
147,8,17,2815,0.003700,0.999700
148,14,32,2814,0.003700,0.999800
149,20,38,2571,0.003400,0.999800
150,32,38,1889,0.002500,0.999900
151,12,37,1814,0.002400,1.000000
152,30,37,769,0.001000,1.000000
