DISTRICT,POPULATION,DISTRICT%
"1/1",536634,0.699700
"1/4",187317,0.244200
"1/6",12565,0.016400
"1/14",30826,0.040200
"2/2",246271,0.321100
"2/8",140552,0.183300
"2/9",14405,0.018800
"2/18",46732,0.060900
"2/36",320815,0.418300
"3/3",383031,0.499400
"3/4",48560,0.063300
"3/6",305647,0.398500
"3/25",25466,0.033200
"4/3",143850,0.187600
"4/4",258240,0.336700
"4/6",52187,0.068000
"4/26",312670,0.407700
"5/5",498621,0.650100
"5/6",218525,0.284900
"5/25",50783,0.066200
"6/1",161218,0.210200
"6/4",88027,0.114800
"6/6",140384,0.183000
"6/17",46828,0.061100
"6/25",332401,0.433400
"7/7",533073,0.695000
"7/18",41816,0.054500
"7/22",65886,0.085900
"7/29",124387,0.162200
"8/2",228355,0.297700
"8/8",409429,0.533800
"8/14",11569,0.015100
"8/38",117292,0.152900
"9/7",13348,0.017400
"9/9",340793,0.444300
"9/10",9174,0.012000
"9/22",257504,0.335700
"9/29",145193,0.189300
"10/1",63236,0.082400
"10/8",108336,0.141200
"10/10",479307,0.624900
"10/14",83642,0.109100
"10/17",7991,0.010400
"10/31",17756,0.023200
"10/38",6344,0.008300
"11/11",505674,0.659300
"11/13",67050,0.087400
"11/16",56005,0.073000
"11/19",23219,0.030300
"11/23",116604,0.152000
"12/4",17210,0.022400
"12/12",519196,0.676900
"12/17",2571,0.003400
"12/19",42060,0.054800
"12/24",182366,0.237800
"12/25",4449,0.005800
"13/11",261650,0.341100
"13/13",503580,0.656600
"14/1",3641,0.004700
"14/8",109985,0.143400
"14/9",11752,0.015300
"14/14",640701,0.835300
"15/15",506757,0.660700
"15/23",163372,0.213000
"15/27",3400,0.004400
"15/34",93751,0.122200
"16/16",710197,0.926000
"16/23",56139,0.073200
"17/10",1876,0.002400
"17/17",624473,0.814200
"17/19",110491,0.144100
"17/31",29709,0.038700
"18/2",211502,0.275800
"18/7",60699,0.079100
"18/18",441906,0.576200
"18/29",49235,0.064200
"18/38",5503,0.007200
"19/4",58855,0.076700
"19/13",196709,0.256500
"19/17",2931,0.003800
"19/19",433941,0.565800
"19/24",73585,0.095900
"20/20",539861,0.703900
"20/21",165156,0.215300
"20/28",60585,0.079000
"21/19",86443,0.112700
"21/20",20737,0.027000
"21/21",507035,0.661100
"21/28",151085,0.197000
"22/7",100196,0.130600
"22/10",207263,0.270200
"22/22",443531,0.578300
"22/38",13175,0.017200
"23/19",10521,0.013700
"23/20",208196,0.271400
"23/21",70647,0.092100
"23/23",427805,0.557800
"23/34",48902,0.063800
"24/4",109750,0.143100
"24/12",35041,0.045700
"24/24",482431,0.629000
"24/26",102535,0.133700
"24/33",39833,0.051900
"25/1",769,0.001000
"25/12",201059,0.262100
"25/17",71653,0.093400
"25/25",210327,0.274200
"25/30",779,0.001000
"25/33",277430,0.361700
"26/3",207034,0.269900
"26/26",351928,0.458800
"26/32",208342,0.271600
"27/10",63316,0.082600
"27/23",2400,0.003100
"27/27",579910,0.756100
"27/28",7267,0.009500
"27/34",112907,0.147200
"28/21",23711,0.030900
"28/27",173594,0.226300
"28/28",545486,0.711200
"28/35",24333,0.031700
"29/18",237775,0.310000
"29/29",431538,0.562600
"29/36",99755,0.130100
"30/5",84117,0.109700
"30/17",7685,0.010000
"30/25",143776,0.187500
"30/30",535049,0.697600
"31/19",60090,0.078300
"31/28",375,0.000500
"31/31",484587,0.631800
"31/35",155184,0.202300
"31/37",66802,0.087100
"32/3",32998,0.043000
"32/5",184400,0.240400
"32/6",36741,0.047900
"32/30",99705,0.130000
"32/32",412003,0.537200
"33/12",11638,0.015200
"33/24",28494,0.037200
"33/30",132406,0.172600
"33/32",146583,0.191100
"33/33",449844,0.586500
"34/15",259926,0.338900
"34/34",510857,0.666100
"35/27",8849,0.011500
"35/28",2815,0.003700
"35/31",65478,0.085400
"35/35",585971,0.764000
"35/37",106256,0.138500
"36/9",402334,0.524600
"36/29",16624,0.021700
"36/36",346806,0.452200
"37/10",2814,0.003700
"37/31",172064,0.224300
"37/37",592709,0.772800
"38/2",80490,0.104900
"38/7",59501,0.077600
"38/10",2313,0.003000
"38/38",625450,0.815500
