REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,38,16,710197,0.926000,0.024400
2,12,36,640701,0.835300,0.046400
3,25,38,625450,0.815500,0.067800
4,10,17,624473,0.814200,0.089200
5,14,37,592709,0.772800,0.109600
6,8,35,585971,0.764000,0.129700
7,1,27,579910,0.756100,0.149600
8,18,21,545486,0.711200,0.168300
9,16,20,539861,0.703900,0.186800
10,11,1,536634,0.699700,0.205200
11,32,30,535049,0.697600,0.223600
12,29,7,533073,0.695000,0.241900
13,20,33,519196,0.676900,0.259700
14,4,34,510857,0.666100,0.277200
15,5,23,507035,0.661100,0.294600
16,13,15,506757,0.660700,0.312000
17,9,19,505674,0.659300,0.329300
18,2,13,503580,0.656600,0.346600
19,17,32,498621,0.650100,0.363700
20,15,31,484587,0.631800,0.380400
21,36,25,482431,0.629000,0.396900
22,7,10,479307,0.624900,0.413400
23,35,12,449844,0.586500,0.428800
24,22,22,443531,0.578300,0.444000
25,27,29,441906,0.576200,0.459200
26,3,11,433941,0.565800,0.474100
27,21,9,431538,0.562600,0.488900
28,19,28,427805,0.557800,0.503500
29,34,24,412003,0.537200,0.517700
30,23,8,409429,0.533800,0.531700
31,24,14,402334,0.524600,0.545500
32,31,3,383031,0.499400,0.558700
33,33,26,351928,0.458800,0.570800
34,24,2,346806,0.452200,0.582700
35,26,14,340793,0.444300,0.594300
36,6,6,332401,0.433400,0.605700
37,28,2,320815,0.418300,0.616800
38,37,26,312670,0.407700,0.627500
39,31,5,305647,0.398500,0.638000
40,30,12,277430,0.361700,0.647500
41,2,19,261650,0.341100,0.656500
42,4,15,259926,0.338900,0.665400
43,37,4,258240,0.336700,0.674200
44,26,22,257504,0.335700,0.683100
45,28,18,246271,0.321100,0.691500
46,21,29,237775,0.310000,0.699700
47,23,18,228355,0.297700,0.707500
48,17,5,218525,0.284900,0.715000
49,27,18,211502,0.275800,0.722300
50,30,6,210327,0.274200,0.729500
51,33,24,208342,0.271600,0.736600
52,19,20,208196,0.271400,0.743800
53,22,10,207263,0.270200,0.750900
54,33,3,207034,0.269900,0.758000
55,30,33,201059,0.262100,0.764900
56,3,13,196709,0.256500,0.771600
57,11,4,187317,0.244200,0.778100
58,34,32,184400,0.240400,0.784400
