REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,6,668837,0.868000,0.086800
2,5,5,454812,0.590300,0.145800
3,9,8,452998,0.587900,0.204600
4,7,9,402796,0.522800,0.256900
5,3,7,392866,0.509900,0.307900
6,10,1,384105,0.498500,0.357700
7,10,2,373858,0.485200,0.406300
8,4,2,365956,0.474900,0.453700
9,2,4,340176,0.441500,0.497900
10,8,10,339618,0.440800,0.542000
11,5,8,289322,0.375500,0.579500
12,6,4,281214,0.365000,0.616000
13,4,3,271359,0.352200,0.651200
14,8,3,229183,0.297400,0.681000
15,9,9,227400,0.295100,0.710500
16,6,10,224140,0.290900,0.739600
17,2,3,218121,0.283100,0.767900
18,7,10,205546,0.266800,0.794600
19,2,7,188800,0.245000,0.819100
20,8,1,184021,0.238800,0.842900
21,3,1,178066,0.231100,0.866100
22,7,5,161105,0.209100,0.887000
23,6,5,153015,0.198600,0.906800
24,4,4,133211,0.172900,0.924100
25,3,9,101843,0.132200,0.937300
26,3,6,100775,0.130800,0.950400
27,1,7,93824,0.121800,0.962600
28,9,7,91622,0.118900,0.974500
29,6,3,55870,0.072500,0.981700
30,6,8,26510,0.034400,0.985200
31,2,2,24799,0.032200,0.988400
32,6,1,22290,0.028900,0.991300
33,5,4,19670,0.025500,0.993800
34,8,9,17293,0.022400,0.996100
35,10,9,10524,0.013700,0.997400
36,5,9,8004,0.010400,0.998500
37,6,2,4597,0.006000,0.999100
38,1,1,4165,0.005400,0.999600
39,6,7,2494,0.003200,0.999900
40,7,1,476,0.000600,1.000000
