REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,4,1,753809,0.978300,0.097800
2,1,4,732798,0.951000,0.192900
3,2,2,709592,0.920900,0.285000
4,10,3,568624,0.738000,0.358800
5,9,7,562731,0.730300,0.431900
6,3,6,523629,0.679600,0.499800
7,8,5,416016,0.539900,0.553800
8,5,8,318056,0.412800,0.595100
9,5,10,291930,0.378900,0.633000
10,6,8,288129,0.373900,0.670400
11,6,9,286641,0.372000,0.707600
12,8,9,263581,0.342100,0.741800
13,7,10,235996,0.306300,0.772400
14,7,5,225355,0.292500,0.801600
15,7,6,221908,0.288000,0.830400
16,10,9,195233,0.253400,0.855800
17,9,10,179423,0.232900,0.879100
18,5,5,121602,0.157800,0.894800
19,3,7,94526,0.122700,0.907100
20,8,8,90821,0.117900,0.918900
21,6,3,83960,0.109000,0.929800
22,6,7,83856,0.108800,0.940700
23,3,3,77615,0.100700,0.950800
24,7,8,72809,0.094500,0.960200
25,3,10,63926,0.083000,0.968500
26,2,3,41456,0.053800,0.973900
27,5,7,26881,0.034900,0.977400
28,9,4,23765,0.030800,0.980500
29,1,2,22629,0.029400,0.983400
30,2,1,20525,0.026600,0.986100
31,6,2,19034,0.024700,0.988500
32,4,2,16888,0.021900,0.990700
33,1,6,14995,0.019500,0.992700
34,7,9,14285,0.018500,0.994500
35,5,9,11413,0.014800,0.996000
36,3,4,10183,0.013200,0.997300
37,10,6,7293,0.009500,0.998300
38,6,5,5402,0.007000,0.999000
39,9,6,4299,0.005600,0.999500
40,6,4,3191,0.004100,0.999900
41,7,3,476,0.000600,1.000000
