REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,4,9,672550,0.872800,0.087300
2,9,3,565521,0.733900,0.160700
3,8,2,559302,0.725900,0.233300
4,1,5,544277,0.706400,0.303900
5,3,1,508388,0.659800,0.369900
6,5,8,420881,0.546200,0.424500
7,10,10,397616,0.516000,0.476100
8,7,4,365714,0.474600,0.523600
9,6,7,333812,0.433200,0.566900
10,5,6,272950,0.354200,0.602300
11,7,7,248577,0.322600,0.634600
12,2,10,242920,0.315300,0.666100
13,2,5,225788,0.293000,0.695400
14,2,6,200570,0.260300,0.721400
15,6,8,193427,0.251000,0.746500
16,8,7,187154,0.242900,0.770800
17,6,6,182212,0.236500,0.794500
18,10,2,176916,0.229600,0.817400
19,3,3,174124,0.226000,0.840000
20,1,1,162947,0.211500,0.861200
21,7,8,155156,0.201400,0.881300
22,9,4,145865,0.189300,0.900200
23,2,9,102618,0.133200,0.913600
24,4,10,97976,0.127200,0.926300
25,10,4,97381,0.126400,0.938900
26,10,1,96574,0.125300,0.951500
27,3,4,91038,0.118200,0.963300
28,1,6,59602,0.077400,0.971000
29,9,6,55147,0.071600,0.978200
30,5,4,46839,0.060800,0.984200
31,6,2,31429,0.040800,0.988300
32,5,3,31138,0.040400,0.992400
33,6,10,28887,0.037500,0.996100
34,8,4,21470,0.027900,0.998900
35,9,1,5487,0.007100,0.999600
36,8,10,2189,0.002800,0.999900
37,7,1,476,0.000600,1.000000
38,6,1,363,0.000500,1.000000
