REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,4,10,676047,0.877400,0.087700
2,5,1,645671,0.838000,0.171500
3,6,4,643768,0.835500,0.255100
4,9,5,616876,0.800600,0.335100
5,10,7,578653,0.751000,0.410200
6,8,2,561491,0.728700,0.483100
7,7,3,555161,0.720500,0.555200
8,1,8,541557,0.702800,0.625400
9,3,6,427073,0.554300,0.680900
10,2,9,412466,0.535300,0.734400
11,1,9,219977,0.285500,0.762900
12,2,8,207563,0.269400,0.789900
13,7,6,174049,0.225900,0.812500
14,3,7,151134,0.196100,0.832100
15,10,2,150119,0.194800,0.851600
16,8,3,137510,0.178500,0.869400
17,3,5,129022,0.167400,0.886200
18,9,6,97197,0.126100,0.898800
19,2,10,96383,0.125100,0.911300
20,4,9,81471,0.105700,0.921900
21,8,4,71114,0.092300,0.931100
22,6,2,62451,0.081000,0.939200
23,9,1,57947,0.075200,0.946700
24,5,4,53394,0.069300,0.953600
25,5,3,41605,0.054000,0.959000
26,7,1,40713,0.052800,0.964300
27,3,9,39389,0.051100,0.969400
28,2,6,30685,0.039800,0.973400
29,10,3,29191,0.037900,0.977200
30,2,7,24799,0.032200,0.980400
31,3,8,23622,0.030700,0.983500
32,6,1,22213,0.028800,0.986400
33,5,5,21910,0.028400,0.989200
34,6,9,18690,0.024300,0.991600
35,6,6,14015,0.018200,0.993500
36,4,7,13008,0.016900,0.995200
37,10,6,10524,0.013700,0.996500
38,5,6,9228,0.012000,0.997700
39,6,7,7938,0.010300,0.998700
40,1,6,5292,0.006900,0.999400
41,3,3,3310,0.004300,0.999900
42,6,3,1055,0.001400,1.000000
