DISTRICT,POPULATION,DISTRICT%
"1/1",493949,0.670500
"1/4",189871,0.257700
"1/5",53200,0.072200
"2/1",85,0.000100
"2/2",458186,0.621900
"2/6",277831,0.377100
"2/7",736,0.001000
"3/3",402849,0.546800
"3/6",333836,0.453100
"4/4",546330,0.741600
"4/5",190444,0.258500
"5/1",241777,0.328200
"5/2",205249,0.278600
"5/5",289808,0.393400
"6/2",71717,0.097300
"6/5",201693,0.273800
"6/7",244556,0.332000
"6/8",218934,0.297200
"7/2",3056,0.004100
"7/3",202133,0.274400
"7/6",124415,0.168900
"7/7",406487,0.551800
"8/3",130488,0.177100
"8/7",86679,0.117700
"8/8",519409,0.705000
