DISTRICT,POPULATION,DISTRICT%
"1/1",335622,0.455600
"1/4",348198,0.472600
"1/5",12198,0.016600
"1/6",41002,0.055700
"2/2",315451,0.428200
"2/5",420651,0.571000
"2/7",736,0.001000
"3/2",103894,0.141000
"3/3",632791,0.858900
"4/1",207636,0.281800
"4/4",386062,0.524000
"4/6",143076,0.194200
"5/1",12179,0.016500
"5/2",179246,0.243300
"5/5",304823,0.413800
"5/6",240586,0.326600
"6/1",180656,0.245200
"6/2",2317,0.003100
"6/6",312625,0.424400
"6/7",26771,0.036300
"6/8",214531,0.291200
"7/2",135051,0.183300
"7/3",101348,0.137600
"7/7",499692,0.678300
"8/7",211723,0.287400
"8/8",524853,0.712400
