REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,7,3,634225,0.798200,0.088700
2,1,8,615807,0.775000,0.174800
3,2,9,613045,0.771500,0.260500
4,5,1,593011,0.746300,0.343400
5,3,2,573107,0.721200,0.423600
6,6,4,520938,0.655600,0.496400
7,4,5,490483,0.617300,0.565000
8,9,6,466105,0.586600,0.630200
9,8,6,328506,0.413400,0.676100
10,9,7,320183,0.402900,0.720900
11,4,4,239385,0.301300,0.754400
12,8,7,230495,0.290100,0.786600
13,6,5,200189,0.251900,0.814600
14,1,9,153702,0.193400,0.836100
15,2,7,130659,0.164400,0.854300
16,8,2,129721,0.163300,0.872500
17,3,1,125026,0.157300,0.890000
18,5,3,122511,0.154200,0.907100
19,7,7,104317,0.131300,0.921700
20,8,5,103940,0.130800,0.936200
21,3,8,77459,0.097500,0.947000
22,4,1,71462,0.089900,0.957000
23,6,2,66036,0.083100,0.966300
24,5,8,40521,0.051000,0.971900
25,2,8,35375,0.044500,0.976900
26,5,4,34288,0.043200,0.981700
27,1,3,25884,0.032600,0.985300
28,7,8,25448,0.032000,0.988900
29,7,9,23299,0.029300,0.992100
30,6,3,11992,0.015100,0.993800
31,2,2,11740,0.014800,0.995400
32,4,2,9941,0.012500,0.996800
33,1,7,7504,0.009400,0.997900
34,3,9,4566,0.005700,0.998500
35,7,2,3403,0.004300,0.999000
36,1,1,3028,0.003800,0.999400
37,7,1,2018,0.002500,0.999700
38,6,7,1453,0.001800,0.999900
39,9,2,664,0.000800,1.000000
40,6,1,66,0.000100,1.000000
