GEOID,DISTRICT
011250120012007,1
011250124082002,1
011250121022008,1
011270201001062,1
011250123041009,1
011270214002056,1
011250120022015,1
011250107063058,1
011250125032000,1
011250101051016,1
011250120011005,1
011250118002009,1
011250103032019,1
011250104052022,1
011270201003048,1
011250124071050,1
011250125051023,1
011250104031027,1
011250101042008,1
011250119021021,1
011270213001035,1
011250103031025,1
011250106042007,1
011250106014032,1
011250106043034,1
011250118002026,1
011250125042028,1
011250124032002,1
011250106033015,1
011270217004018,1
011250107071043,1
011250106031018,1
011250103023124,1
011250103051017,1
011270214002001,1
011270215004047,1
011250125051041,1
011250101051023,1
011250114011004,1
011270213001019,1
011250107031139,1
011250116003090,1
011250128001016,1
011250118001003,1
011250103052065,1
011270203012005,1
011250107042010,1
011250104043030,1
011250114013014,1
011250107042021,1
011250107051002,1
011250102031081,1
011250124041009,1
011250103031007,1
011270201004021,1
011250127003019,1
011250104033036,1
011250107062052,1
011250102061045,1
011250117032054,1
011250108023022,1
011250112002060,1
011250118004026,1
011250118001014,1
011270217001044,1
011250108042033,1
011250128001018,1
011250126001002,1
011250103023157,1
011250124033037,1
011250101022043,1
011270202002014,1
011270217003040,1
011270213001008,1
011250106012020,1
011250102062035,1
011250124042014,1
011250101041065,1
011250106011035,1
011250123053001,1
011270215003035,1
011250119011009,1
011250106014053,1
011270214003016,1
011270212003041,1
011250125052014,1
011250101021023,1
011250107071001,1
011250105001064,1
011250102031030,1
011250102062032,1
011250102052037,1
011270207001019,1
011250104062024,1
011250117011000,1
011250102062004,1
011250124033038,1
011250108023045,1
011250107063049,1
011270201003047,1
011270207002020,1
011270213003076,1
011250126002007,1
011270203022016,1
011250106011060,1
011270202002051,1
011270210002068,1
011250108042010,1
011250102043006,1
011270204002019,1
011250118001018,1
011270212001058,1
011250107031132,1
011250120021000,1
011250101022030,1
011250120011002,1
011270216002030,1
011270215004041,1
011270202001031,1
011270203023008,1
011270201001059,1
011270217001029,1
011270204003033,1
011250106011024,1
011250123051000,1
011250107062024,1
011250123052011,1
011250107031129,1
011250125052008,1
011250107064043,1
011270203012013,1
011270203022008,1
011250101052009,1
011250103042018,1
011250101012004,1
011250117032060,1
011270217001030,1
011250107062058,1
011250125011027,1
011270204003041,1
011250104032030,1
011250102031028,1
011250104042036,1
011270212002080,1
011250107031062,1
011270215002013,1
011250119022011,1
011250101042050,1
011250123063013,1
011250102041010,1
011270213002040,1
011250104051088,1
011270213001069,1
011270216001020,1
011250104051109,1
011270202001000,1
011250106012040,1
011250117012012,1
011270211001050,1
011250103031008,1
011250107041028,1
011250124041050,1
011250101012005,1
011250106012035,1
011250104071001,1
011250116003065,1
011250123052008,1
011270213001057,1
011250124071033,1
011270210002062,1
011250102011011,1
011250101022076,1
011270213001026,1
011250103041055,1
011250117032072,1
011270216002002,1
011250125042056,1
011250106044012,1
011250101052047,1
