GEOID,DISTRICT
080050831002012,1
080050806003007,1
080050819004005,1
080050863001004,1
080050854001023,1
080059800001004,1
080739617003022,1
080050831003011,1
080050839002001,1
080399612044029,1
080050819003004,1
080399612042008,1
080050857001012,1
080050833001009,1
080050822003001,1
080050820003001,1
080050809002011,1
080050808002005,1
080050834002016,1
080050858001004,1
080050071103039,1
080739617002083,1
080050071101015,1
080050833002015,1
080050075001011,1
080050071102043,1
080050858001012,1
080050814004014,1
080050814001004,1
080050835002003,1
080050851003001,1
080050073024007,1
080050854001020,1
080739618002431,1
080050835005007,1
080050074002001,1
080050071111028,1
080050854001022,1
080050815001001,1
080050841002011,1
080050851003008,1
080050071121037,1
080050074001006,1
080050837002031,1
080050808001008,1
080050867001019,1
080739617003021,1
080050846004001,1
080050842001001,1
080050071102028,1
080050826003006,1
080739617002006,1
080050857003007,1
080050811012001,1
080050071013055,1
080050845001007,1
080050071013044,1
080050071121019,1
080739617003037,1
080050839002003,1
080050071132045,1
080050071102035,1
080050071102027,1
080050074002009,1
080399612044008,1
080050817002002,1
080050071062023,1
080739617002074,1
080050843002009,1
080050812001001,1
080050861001001,1
080050845002002,1
080050859001026,1
080050806001004,1
080050851001007,1
080050071102024,1
080050852001000,1
080050831002032,1
080050828001004,1
080050071082025,1
080050817001009,1
080050071103078,1
080739617001074,1
080050071014022,1
080050071091029,1
080050806003000,1
080050071012004,1
080050810021001,1
080050866001002,1
080050071102021,1
080050822003007,1
080050826002003,1
080050071013030,1
080050809002028,1
080050816003010,1
080050071121036,1
080399612042024,1
080050832013012,1
080050860021007,1
080050071012000,1
080739618002036,1
080050848001006,1
080050828001010,1
080050830002007,1
080050071014005,1
080050837001026,1
080399612091020,1
080050807001007,1
080050804003005,1
080050855002001,1
080050850001001,1
080050813001011,1
080050823002005,1
080050844001016,1
080050071082048,1
080739617003047,1
080739617001119,1
080050863001009,1
080050831002005,1
080050830001014,1
080050814001000,1
080050810011005,1
080739617002018,1
080050071011089,1
080739617001035,1
080050071012030,1
080050859001014,1
080050071012031,1
080050816002009,1
080739618002085,1
080050865002022,1
080050837002027,1
080050071132042,1
080050850001015,1
080050860011004,1
080050812002002,1
080050071013066,1
080050071103075,1
080050071061055,1
080050849002004,1
080050861003013,1
080050071061027,1
080050811022009,1
080050846001001,1
080050071011042,1
080050805001013,1
080050863002003,1
080050071013068,1
080050071013023,1
080050828002004,1
080739618002099,1
080050845001002,1
080050823003007,1
080050814001006,1
080050815001000,1
080739617001098,1
080050074001012,1
080050823002006,1
080739617001117,1
080050852002012,1
080050818002002,1
080050822001014,1
080050856001002,1
080050857001004,1
080050077022003,1
080050857003005,1
080050848001019,1
080050866001012,1
080050071011092,1
080050859001028,1
080050814004013,1
080050822004010,1
080050838002000,1
080399612091015,1
080050829001017,1
080050071081002,1
080050071091017,1
080050071013061,1
080050071081017,1
080399612051023,1
080739618002096,1
080399612051034,1
080399612043008,1
080050071103085,1
080050071062053,1
080050867001025,1
080050075001016,1
080050071132033,1
080050851001002,1
080050866001011,1
080050071132021,1
080050862002013,1
080050071122008,1
080739617001027,1
080050071012041,1
080050074002000,1
080050851002017,1
080050814001005,1
080050857001010,1
080050071011053,1
080050804002003,1
080050815002003,1
080050071132001,1
080739617002070,1
080050865002015,1
080399612041006,1
080050830002020,1
080050071121046,1
080050073012005,1
080050071101019,1
080050071091024,1
080050071122010,1
080050848001013,1
080050855001010,1
080050812003001,1
080050845002000,1
080050071061019,1
080050831002049,1
080050811011003,1
080050827001010,1
080050831002026,1
080050811013004,1
080050815001004,1
080050811012007,1
080050823003004,1
080050071103063,1
080050827001004,1
080050821002002,1
080739618002031,1
080050073012013,1
080050071014061,1
080050835003000,1
080050821001008,1
080050831002004,1
080050809001022,1
080050847002008,1
080050833002007,1
080050074002008,1
080050071014000,1
080050071061007,1
080050809002001,1
080050814003005,1
080739618002033,1
080050853001004,1
080050836002010,1
080050843001000,1
080050822001008,1
080050071101003,1
080050848002003,1
080050071014039,1
080050071132013,1
080050831001001,1
080050071121023,1
080050850001006,1
080050823003003,1
080050862001009,1
080739618002430,1
080050819002010,1
080050807001008,1
080050071132005,1
080050847004002,1
080050825002007,1
080050071011091,1
080739618002018,1
080050848002008,1
080050833003017,1
080050866001019,1
080050071013034,1
080739618002017,1
080050847003003,1
080050862003000,1
080739618002428,1
080050071012017,1
080739618002135,1
080050853001023,1
080050828001007,1
080050816004009,1
080050816002004,1
080399611001042,1
080050837001000,1
080050805002004,1
080050811021004,1
080050830001010,1
080050076004001,1
080050857001007,1
080050071132047,1
080050860012009,1
080050852001002,1
080050846001002,1
080399612091011,1
080739617002084,1
080050071011009,1
080050816003011,1
080050859002008,1
080050813001004,1
080050866002033,1
080739618002441,1
080050071011022,1
080399612041004,1
080050864001000,1
080050864001014,1
080050835002006,1
080050071122000,1
080050071091032,1
080050806001000,1
080050854001007,1
080050800002001,1
080050071111011,1
080050848001000,1
080050843001014,1
080050832021014,1
080050861001000,1
080050829002009,1
080050846003002,1
080050809001005,1
080050071011002,1
080050850001029,1
080050071121042,1
080050071081018,1
080050831002008,1
080050077021013,1
080399612041017,1
080050863001005,1
080050818002009,1
080050833003009,1
080050829003002,1
080739618002088,1
080050845002005,1
080050071062032,1
080739617001051,1
080050843002008,1
080050865003007,1
080050071082012,1
080399612042027,1
080050854001002,1
080050809002012,1
080739617001112,1
080050858001001,1
080050851002007,1
080739618002442,1
080050071101021,1
080050833002002,1
080050809001007,1
080050837002029,1
080050841002012,1
080050819004007,1
080739617001099,1
080050854001008,1
080050860021029,1
080050812002000,1
080050071014066,1
080050068541009,1
080050846004011,1
080050841003019,1
080050071012028,1
080050849002014,1
080050071101023,1
080399612051029,1
080399612042012,1
080050073021003,1
080050816004003,1
080050849001002,1
080050817002009,1
080050076003007,1
080050071132003,1
080050809001021,1
080050859002012,1
080050855002010,1
080050071061028,1
080050077031008,1
080739617001047,1
080050071111049,1
080399611001050,1
080050071132007,1
080050818002019,1
080050071101002,1
080399611001000,1
080050071014076,1
080050832012009,1
080050821001000,1
080050071111000,1
080050866002018,1
080050826004002,1
080050071091007,1
080050071081031,1
080050832021012,1
080050822001007,1
080399612072009,1
080050071013056,1
080050829002004,1
080050811011010,1
080050071101029,1
080050863001008,1
080050071082020,1
080050813001001,1
080050855001003,1
080050814004001,1
080399611001033,1
080059800001013,1
080050833003003,1
080050812003000,1
080050867002032,1
080050866002010,1
080050071011061,1
080050866001014,1
080050822001016,1
080050830002027,1
080050801003002,1
080050834002017,1
080050845001003,1
080050071091002,1
080050821002010,1
080050822001013,1
080050826001008,1
080050071121025,1
080050825001002,1
080050852002001,1
080739618002060,1
080050818003014,1
080050814002006,1
080050832021016,1
080050077023009,1
080050820002010,1
080050076001001,1
080739617001111,1
080050071111010,1
080050859001021,1
080050842002008,1
080050824001015,1
080050866001016,1
080050860021030,1
080050071012051,1
080050862003023,1
080050811021002,1
080050073012004,1
080739617002063,1
080050071013040,1
080050071062000,1
080739617001118,1
080050816003001,1
080050071111061,1
080050071081004,1
080739618002413,1
080050844002007,1
080050818001005,1
080050829001008,1
080739618002050,1
080399612041012,1
080050832021007,1
080050074001010,1
080050814002005,1
080050071012006,1
080050817001020,1
080050073021002,1
