GEOID,DISTRICT
090093452022002,1
090034301002003,1
090093442002007,1
090034207001012,1
090034207001008,1
090093452023002,1
090034058021009,1
090034306021010,1
090034058022026,1
090034305021022,1
090034302022010,1
090093453005018,1
090034003005016,1
090091611002001,1
090093481221013,1
090034641021009,1
090034002002031,1
090034306022012,1
090034205004012,1
090093612003001,1
090034058012018,1
090093481242012,1
090093442001018,1
090093611005014,1
090034058021012,1
090093481242021,1
090093481112016,1
090093454001007,1
090093411004023,1
090093453005014,1
090034304004019,1
090093481242025,1
090034303012004,1
090093611001004,1
090093454004002,1
090075851004006,1
090034207003018,1
090093461011019,1
090034304003011,1
090093461021003,1
090034301003000,1
090093612002025,1
090093441001002,1
090093481242022,1
090093451002011,1
090034303011017,1
090034003005014,1
090091611001012,1
090093454002003,1
090093461021001,1
090093461013001,1
090093411003020,1
090034101013026,1
090093454003010,1
090093442003017,1
090093613002009,1
090093454003002,1
090034303011008,1
090093612003013,1
090034306042023,1
090093461013000,1
090093471003014,1
090093442002006,1
090093481112019,1
090034306021001,1
090034302022014,1
090034058021017,1
090034304002005,1
090093611001011,1
090093471002013,1
090093453002011,1
090075851004011,1
090093481223002,1
090093481233005,1
090034207001016,1
090034302011008,1
090093481112009,1
090034302034003,1
090093453005013,1
090093481242003,1
090093442001007,1
090034056004013,1
090034641015013,1
090093471002005,1
090093461023006,1
090093481253004,1
090034304002010,1
090093613003007,1
090034303011020,1
090093481223005,1
090093481111006,1
090093481251009,1
090093481223001,1
090093481223014,1
090034301003011,1
090093452013013,1
090034306022015,1
090093461011007,1
090093453005008,1
090093411003009,1
090034302033000,1
090093481253005,1
090093481231003,1
090034305022002,1
090093453005002,1
090034058011004,1
090093453002007,1
090093452021009,1
090034101013019,1
090093481233016,1
090093411004025,1
090093451004006,1
090093471002017,1
090093481231018,1
090034101023016,1
090034304004004,1
090093453004000,1
090034057002014,1
090034101012020,1
090093461011012,1
090034207003012,1
090034301001002,1
090034002003002,1
090034301002004,1
090091611002007,1
090093612003011,1
090093461024006,1
090034301003009,1
090093461022004,1
090034101013022,1
090034003005012,1
090093452012000,1
090093452014003,1
090093461023040,1
090034641012013,1
090093471003008,1
090034003005019,1
090091611001020,1
090093453005000,1
090093454001003,1
090093441002014,1
090093452015008,1
090034056004001,1
090034058022023,1
090093452023003,1
090093481253006,1
090093481253000,1
090034002003008,1
090034305021006,1
090093454002002,1
090091611002012,1
090093451002002,1
090034305011015,1
090093451001004,1
090034101011011,1
090091611005013,1
090034641021012,1
090093453001013,1
090034641015014,1
090034101022007,1
090093481251013,1
090034304001016,1
090034306042018,1
090093461013007,1
090093461023037,1
090093481221004,1
090075851003018,1
090034641012011,1
090034206012001,1
090093612002024,1
090034306041003,1
090093411002007,1
090034003005022,1
090093442003020,1
090034101013004,1
090034302031014,1
090093452022006,1
090093611003012,1
090093411004026,1
090093454006011,1
090093611001008,1
090034003005024,1
090034206011008,1
090093454005002,1
090093461011016,1
090093452023001,1
090034303021014,1
090034306041010,1
090093461012008,1
090093481111015,1
090034302021008,1
090093481251007,1
090034641014011,1
090093481232004,1
090034301003005,1
090093452021013,1
090093461011031,1
090093442002018,1
090091611001018,1
090034305021021,1
090093481231011,1
090093612002016,1
090093452015002,1
090034101023001,1
090093612003002,1
090034057002002,1
090093452023008,1
090034641022005,1
090034641024006,1
090093461011020,1
090034641012007,1
090034101023014,1
090034641021010,1
090093454004013,1
090034304003018,1
090034302022016,1
090034304002007,1
090093481251004,1
090093481112018,1
090093451003001,1
090093461023026,1
090034303021013,1
090093452011016,1
090075851004002,1
090093454001002,1
090093472001002,1
090034302021017,1
090093441003013,1
090093611002007,1
090093461023009,1
090034206012007,1
090093611005015,1
090093461022016,1
090034057001013,1
090093454003004,1
090093451004011,1
090034101012007,1
090034641021014,1
090091611002003,1
090034101011014,1
090034303021011,1
090091611005009,1
090034206012008,1
090034305021015,1
090034641015012,1
090034101022011,1
090034306041000,1
090093611005002,1
090093461012004,1
090034058011012,1
090093453003001,1
090093441002009,1
090034058012016,1
090034303011011,1
090034303011019,1
090093442001006,1
090093461022013,1
090093441002015,1
090034641022006,1
090093471002010,1
090034207003013,1
090093451001008,1
090075851004000,1
090093452011015,1
090034306041005,1
090093481233017,1
090034003005005,1
090091611004006,1
090034304003003,1
090093612002003,1
090093461012002,1
090093453004004,1
090093451002000,1
090093481242011,1
090034058022020,1
090093452011007,1
090034305021019,1
090034101023006,1
090093461022003,1
090093441002013,1
090034003003006,1
090034641011009,1
090034003003010,1
090093611003006,1
090034101011018,1
090034306021025,1
090093481222005,1
090034003002006,1
090034302012005,1
090034056002000,1
090093411003012,1
090034056003002,1
090093461022010,1
090034058011002,1
090034302012009,1
090093411003007,1
