GEOID,DISTRICT
340350542021014,1
340210033032010,1
340210044093016,1
340210027022000,1
340210043147006,1
340210010003015,1
340210026021047,1
340057043023003,1
340210027011001,1
340210005001006,1
340210039052006,1
340210028003009,1
340210043072006,1
340210033031011,1
340210044092034,1
340210032023027,1
340057013011037,1
340210036012007,1
340057043023014,1
340057014012014,1
340057017002002,1
340057013021010,1
340210043094020,1
340057013011018,1
340210029042006,1
340210032021036,1
340210040001020,1
340210033012022,1
340210038001021,1
340057013012005,1
340210037034003,1
340210030042010,1
340210034001000,1
340210043152017,1
340210039031004,1
340210022005001,1
340210025004005,1
340210030011002,1
340210030025010,1
340210032012007,1
340210026013010,1
340210035001005,1
340210019001025,1
340210032022015,1
340057014013090,1
340350542021033,1
340210028002014,1
340210039033000,1
340210044033005,1
340210039042005,1
340210015003003,1
340210038005010,1
340210044072005,1
340057015023008,1
340210013003001,1
340057043025009,1
340210038001007,1
340210004002001,1
340210029032005,1
340210037082008,1
340210021004016,1
340210025001034,1
340210037082005,1
340210043121009,1
340210043147007,1
340210027013014,1
340210038001000,1
340210014022009,1
340057017002009,1
340057043021000,1
340210037081035,1
340210030082015,1
340210026021000,1
340210037081034,1
340210037073002,1
340057014013006,1
340210043121018,1
340210043062021,1
340210031001021,1
340210043121000,1
340210017001008,1
340210008001003,1
340057043023002,1
340057043021021,1
340057014012011,1
340210030023002,1
340210042051003,1
340210043163014,1
340210040002017,1
340210038001049,1
340210015002000,1
340210008002000,1
340210043062004,1
340057042021020,1
340210038001006,1
340210030012016,1
340210003004019,1
340057014022005,1
340210044032025,1
340210005002000,1
340210032021033,1
340210011021006,1
340057014021003,1
340210043114000,1
340210039043010,1
340210033012019,1
340210012003010,1
340210040001003,1
340210037081037,1
340210026022012,1
340210027022002,1
340210030042019,1
340210025004034,1
340210030031019,1
340210030034033,1
340210043095001,1
340210032013013,1
340210037061005,1
340210004001013,1
340210020001020,1
340210037032018,1
340210042041013,1
340210029031008,1
340210037042009,1
340057017003011,1
340210008002005,1
340210026012026,1
340210025005020,1
340057013031001,1
340210026014025,1
340210044083012,1
340210033041008,1
340210040004008,1
340210029042011,1
340057013021002,1
340210044072001,1
340057013012035,1
340210039033004,1
340210032011007,1
340210030012019,1
340210037081004,1
340057013012006,1
340210033034017,1
340210039053023,1
340057017001009,1
340057043022016,1
340210001002015,1
340210009001001,1
340210026011014,1
340210030081006,1
340210043162010,1
340210030021022,1
340057013011020,1
340210026013009,1
340057014021013,1
340210045013020,1
340210033012000,1
340210010004019,1
340057013012007,1
340210032011002,1
340057043023018,1
340210003003006,1
340210027013023,1
340057042012003,1
340210043073003,1
340210030082020,1
340210030041019,1
340210028001033,1
340210025004006,1
340210042062012,1
340210039033010,1
340210043162002,1
340210030041008,1
340057013012027,1
340210039033008,1
340210035002005,1
340210003001021,1
340210039041007,1
340210032023030,1
340210028002005,1
340210030081032,1
340210022004000,1
340057042013023,1
340057014014001,1
340210030063026,1
340210042062010,1
340057015023009,1
340210045013000,1
340210013002000,1
340210015001001,1
340210043092006,1
340210035003023,1
340210003003009,1
340210030012007,1
340210030025002,1
340210012002015,1
340210014014004,1
340210002003005,1
340210028002032,1
340210029031018,1
340210033013018,1
340057042013019,1
340210016001001,1
340057043025010,1
340210035006013,1
340210025004033,1
340210032023034,1
340057015022027,1
340210039042022,1
340210006002020,1
340057014022014,1
340057013032012,1
340210042043006,1
340210009001007,1
340057014021016,1
340210004002004,1
340210035006009,1
340210033011007,1
340210037032017,1
340057013011029,1
340210036022008,1
340210009001027,1
340210043121017,1
340210043132004,1
340210030072011,1
340057043025015,1
340210042041022,1
340210044072013,1
340210038002013,1
340210027021004,1
340210044031011,1
340210042052016,1
340210026022020,1
340210045022006,1
340210029024024,1
340210037081030,1
340210029021013,1
340210012002019,1
340210037081001,1
340210032023017,1
340210018002029,1
340210029043007,1
340210026022031,1
340210026012029,1
340210001001018,1
340210038004001,1
340210042044040,1
340210033031002,1
340210013002022,1
340057014012021,1
340210030063006,1
340210043062017,1
340210030093001,1
340210006002004,1
340210034001010,1
340210043091005,1
340210034002014,1
340210042042003,1
340210009001016,1
340210043144002,1
340210018002026,1
340057043022006,1
340210042043004,1
340210031002004,1
340210017001007,1
340210043093002,1
340210008002002,1
340210031002006,1
340210009004026,1
340210022005023,1
340057014012030,1
340210028002020,1
340057017001008,1
340210016001009,1
340210035006022,1
340210017001000,1
340210025004014,1
340210026013013,1
340210014012003,1
340210004003026,1
340210011023003,1
340057013011015,1
340210022005017,1
340210035005016,1
340210033034014,1
340210030073007,1
340210025001032,1
340210043072020,1
340350542021022,1
340210044082009,1
340210008001020,1
340210004003019,1
340057015022011,1
340210037032015,1
340350542011008,1
340210043061009,1
340210004003038,1
340210025001016,1
340210042031017,1
340210005002019,1
340210044073007,1
340210026013017,1
340057014013030,1
340210025002015,1
340210037031016,1
340210033033000,1
340210042062021,1
340210021004011,1
340210007002005,1
340210043092012,1
340210030011031,1
340210043072001,1
340210026022010,1
340210036022012,1
340057014013065,1
340210010002003,1
340210019001021,1
340057013031010,1
340210011011015,1
340210035003001,1
