AREA,PROPORTIONAL,COMPETITIVE,MINORITY,COMPACT,SPLITTING,POPULATION,DISTRICT%,CUMULATIVE%
1,10,5,11,6,4,372555,0.4795,0.0184
2,1,1,2,1,1,367700,0.4732,0.0366
3,1,1,1,1,1,353743,0.4553,0.0542
4,8,11,10,9,11,332381,0.4278,0.0706
5,14,15,15,15,15,323072,0.4158,0.0866
6,13,14,13,11,7,311254,0.4006,0.1020
7,12,13,12,10,14,300072,0.3862,0.1169
8,12,12,12,10,14,299108,0.3850,0.1317
9,16,16,16,16,18,293735,0.3781,0.1462
10,24,25,24,23,24,282861,0.3641,0.1602
11,7,8,7,13,10,268766,0.3459,0.1735
12,26,26,26,26,25,268057,0.3450,0.1868
13,6,7,8,5,5,246605,0.3174,0.1990
14,24,25,25,23,24,241130,0.3103,0.2109
15,25,24,25,24,26,235409,0.3030,0.2226
16,26,26,26,24,25,235113,0.3026,0.2342
17,17,18,17,17,18,230549,0.2967,0.2456
18,18,17,19,18,16,224946,0.2895,0.2568
19,19,19,18,19,19,222700,0.2866,0.2678
20,17,17,17,17,17,207535,0.2671,0.2781
21,2,2,1,2,2,206207,0.2654,0.2883
22,20,19,20,21,20,197831,0.2546,0.2981
23,19,22,18,19,19,190502,0.2452,0.3075
24,9,10,8,7,9,190098,0.2447,0.3169
25,16,16,16,16,17,187069,0.2408,0.3262
26,26,26,25,24,25,176921,0.2277,0.3349
27,14,14,13,15,15,175540,0.2259,0.3436
28,2,4,1,2,2,171651,0.2209,0.3521
29,22,20,22,22,22,169532,0.2182,0.3605
30,21,20,20,21,23,164779,0.2121,0.3687
31,5,9,6,12,12,162354,0.2090,0.3767
32,16,16,14,16,18,158519,0.2040,0.3845
33,2,2,2,2,2,154638,0.1990,0.3922
34,15,9,14,14,8,153515,0.1976,0.3998
35,17,18,17,17,17,152775,0.1966,0.4074
36,23,23,19,20,21,152641,0.1965,0.4149
37,21,21,21,22,22,141621,0.1823,0.4219
38,23,22,23,25,21,136721,0.1760,0.4287
39,5,9,6,4,12,133087,0.1713,0.4353
40,3,3,4,3,13,132802,0.1709,0.4419
41,8,11,5,13,11,131762,0.1696,0.4484
42,9,10,9,7,9,131071,0.1687,0.4549
43,25,23,23,26,26,128913,0.1659,0.4613
44,25,23,26,26,26,127657,0.1643,0.4676
45,5,7,6,4,12,126448,0.1627,0.4738
46,23,24,24,25,23,125097,0.1610,0.4800
47,18,19,18,18,16,124679,0.1605,0.4862
48,19,22,20,19,19,124346,0.1600,0.4923
49,10,5,11,6,13,123192,0.1586,0.4984
50,13,13,11,11,7,117307,0.1510,0.5043
51,21,20,21,22,23,116721,0.1502,0.5100
