AREA,PROPORTIONAL,COMPETITIVE,MINORITY,COMPACT,SPLITTING,POPULATION,DISTRICT%,CUMULATIVE%
1,2,4,8,9,1,629297,0.8020,0.0729
2,5,11,5,1,3,566853,0.7224,0.1386
3,3,10,6,2,5,446298,0.5688,0.1903
4,10,2,4,5,8,398526,0.5079,0.2365
5,1,7,10,3,4,343722,0.4380,0.2763
6,11,3,1,6,11,261147,0.3328,0.3065
7,10,1,1,5,8,249422,0.3179,0.3354
8,6,9,7,4,6,246051,0.3136,0.3639
9,1,7,7,3,4,222393,0.2834,0.3897
10,11,3,2,6,11,186247,0.2374,0.4113
11,4,1,2,10,2,157161,0.2003,0.4295
12,6,8,7,3,6,149074,0.1900,0.4468
13,7,5,9,10,2,147235,0.1876,0.4638
14,6,8,7,4,6,147070,0.1874,0.4809
15,3,10,6,2,3,142372,0.1814,0.4974
16,7,6,9,10,7,125433,0.1599,0.5119
17,9,3,3,8,10,123641,0.1576,0.5262
18,6,9,10,4,6,119642,0.1525,0.5401
19,9,5,3,8,9,117743,0.1501,0.5537
20,8,8,11,4,7,115560,0.1473,0.5671
21,11,2,1,6,11,114006,0.1453,0.5803
22,4,6,3,7,9,113906,0.1452,0.5935
23,8,9,11,8,10,109979,0.1402,0.6062
24,9,6,3,8,9,108867,0.1387,0.6189
25,7,8,9,11,7,108477,0.1382,0.6314
26,2,5,9,10,1,103615,0.1320,0.6434
27,4,6,11,7,9,102886,0.1311,0.6554
28,9,9,11,8,10,102361,0.1305,0.6672
29,8,3,4,7,10,93679,0.1194,0.6781
30,4,5,3,7,9,84939,0.1082,0.6879
31,3,11,5,1,5,82927,0.1057,0.6975
32,9,5,2,7,9,76872,0.0980,0.7064
33,11,1,1,5,11,76765,0.0978,0.7153
34,7,7,9,11,7,74143,0.0945,0.7239
35,9,3,11,8,10,72834,0.0928,0.7323
36,8,9,3,8,10,66885,0.0852,0.7401
37,4,6,11,11,9,66242,0.0844,0.7478
38,1,8,10,11,7,65446,0.0834,0.7553
39,4,4,8,9,2,64228,0.0819,0.7628
40,11,1,2,7,10,63127,0.0805,0.7701
41,8,6,11,11,7,62323,0.0794,0.7773
42,7,7,10,11,7,61428,0.0783,0.7844
43,10,2,1,5,8,60944,0.0777,0.7915
44,11,2,4,6,11,60783,0.0775,0.7985
45,9,1,2,7,9,59182,0.0754,0.8054
46,3,11,6,1,5,58752,0.0749,0.8122
47,4,5,9,10,2,55696,0.0710,0.8187
48,5,10,5,2,5,53274,0.0679,0.8248
49,8,2,4,6,11,52597,0.0670,0.8309
50,7,6,9,11,7,50471,0.0643,0.8368
51,10,2,4,6,8,45695,0.0582,0.8421
52,5,10,6,2,5,44342,0.0565,0.8472
53,7,6,9,10,2,43052,0.0549,0.8522
54,1,7,10,11,4,41382,0.0527,0.8570
55,9,5,2,7,2,40720,0.0519,0.8617
56,9,1,2,7,10,38606,0.0492,0.8662
57,4,1,8,9,2,37652,0.0480,0.8705
58,6,9,4,4,6,37285,0.0475,0.8749
59,7,4,9,10,2,36879,0.0470,0.8791
